id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1,All reporting countries,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.009305426712704892,0,0,0.0,0.0
2,Australia,,6,31,37,6.0,34.0,40.0,2.0,0.9428571428571428,0.9696969696969697,5.366666666666667,0.14636584,0.3628017,3,0.011100278262947757,1,27,0.23689515888690948,0.11922926211902464
3,Austria,,6,4,10,6.0,4.0,10.0,2.0,0.8333333333333334,0.9,0.08695652173913043,0.15440015,0.075992435,3,0.010954511987118082,1,8,0.6222222447395325,0.11922926211902464
4,Bahamas,,6,3,9,6.0,3.0,9.0,2.0,0.7142857142857143,0.8,0.08695652173913043,0.15440015,0.05666053,3,0.010954511987118082,1,5,0.625,0.11922926211902464
5,Belgium,,0,32,32,0.0,32.0,32.0,2.0,0.9444444444444444,0.9705882352941176,0.0,0.0,0.366427,3,0.009305426712704892,1,28,0.2328629046678543,0.0
6,Bermuda,,7,3,10,7.0,3.0,10.0,2.0,0.7142857142857143,0.8,0.0,0.17186645,0.060621466,3,0.011377823768401671,1,17,0.699999988079071,0.1427352691969408
7,Brazil,,23,0,23,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.21868327,0.0,8,0.13491849816955148,1,2,0.29446640610694885,0.9818098616552801
8,Canada,,6,19,25,6.0,22.0,28.0,2.0,0.7021276595744681,0.7878787878787878,0.3536231884057971,0.15440015,0.2484928,8,0.010954511987118082,1,27,0.40526315569877625,0.11922926211902464
9,Cayman Islands,,6,5,11,6.0,5.0,11.0,1.0,1.0,1.0,0.15362318840579708,0.15440015,0.09006321,8,0.010954511987118082,1,16,0.5727272629737854,0.11922926211902464
10,Chile,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.009305426712704892,2,29,0.0,0.0
11,China,,7,4,11,7.0,4.0,11.0,2.0,0.8333333333333334,0.9,0.08695652173913043,0.17186645,0.075992435,8,0.011377823768401671,1,20,0.6454545259475708,0.1427352691969408
12,Denmark,,6,5,11,6.0,5.0,11.0,1.0,1.0,1.0,0.15362318840579708,0.15440015,0.09006321,8,0.010954511987118082,1,14,0.5727272629737854,0.11922926211902464
13,Finland,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.009305426712704892,3,30,0.0,0.0
14,France,,6,33,39,6.0,36.0,42.0,1.0,1.0,1.0,6.453623188405797,0.14475672,0.38569397,3,0.011115342386119135,1,27,0.23351158201694489,0.11922926211902464
15,Germany,,7,5,12,7.0,5.0,12.0,1.0,1.0,1.0,0.15362318840579708,0.17186645,0.09006321,8,0.011377823768401671,1,26,0.5984848737716675,0.1427352691969408
16,Greece,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.009305426712704892,4,31,0.0,0.0
17,Guernsey,,5,2,7,5.0,2.0,7.0,2.0,0.625,0.7,0.0,0.12897813,0.041289557,3,0.010668766852308225,1,4,0.6666666865348816,0.09572325504110836
18,Hong Kong,,7,4,11,7.0,4.0,11.0,2.0,0.8333333333333334,0.9,0.08695652173913043,0.17186645,0.075992435,3,0.011377823768401671,1,23,0.6454545259475708,0.1427352691969408
19,Ireland,,32,4,36,38.0,4.0,42.0,1.0,1.0,1.0,14.986956521739131,0.29371393,0.06941843,3,0.13825806080153322,1,3,0.23618538677692413,1.0
20,Isle of Man,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.009305426712704892,5,32,0.0,0.0
21,Israel,,6,3,9,6.0,3.0,9.0,2.0,0.7142857142857143,0.8,0.08695652173913043,0.14836375,0.05666053,3,0.011064290109873101,1,9,0.625,0.11922926211902464
22,Japan,,7,5,12,7.0,5.0,12.0,1.0,1.0,1.0,0.15362318840579708,0.17186645,0.09006321,8,0.011377823768401671,1,21,0.5984848737716675,0.1427352691969408
23,Jersey,,6,2,8,6.0,2.0,8.0,2.0,0.625,0.7,0.0,0.15440015,0.041289557,3,0.010954511987118082,1,10,0.6964285969734192,0.11922926211902464
24,Jordan,,5,3,8,5.0,3.0,8.0,2.0,0.7142857142857143,0.8,0.0,0.13089745,0.060621466,3,0.010640978328589512,1,11,0.6607142686843872,0.09572325504110836
25,Luxembourg,,7,5,12,7.0,5.0,12.0,1.0,1.0,1.0,0.15362318840579708,0.17186645,0.09006321,8,0.011377823768401671,1,18,0.5984848737716675,0.1427352691969408
26,Macao,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.009305426712704892,6,33,0.0,0.0
27,Mexico,,15,0,15,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.20018531,0.0,8,0.08319453711432961,1,1,0.46190476417541504,0.6621837573294272
28,Morocco,,4,2,6,4.0,2.0,6.0,2.0,0.625,0.7,0.0,0.105396844,0.041289557,3,0.010363432823135598,1,25,0.6333333253860474,0.07221724796319219
29,Netherlands,,6,27,33,6.0,30.0,36.0,2.0,0.8461538461538461,0.9090909090909091,2.253623188405797,0.14836375,0.33437523,8,0.011064290109873101,1,27,0.29497355222702026,0.11922926211902464
30,New Zealand,,5,3,8,5.0,3.0,8.0,2.0,0.7142857142857143,0.8,0.0,0.13089745,0.060621466,3,0.010640978328589512,1,24,0.6607142686843872,0.09572325504110836
31,Norway,,6,3,9,6.0,3.0,9.0,2.0,0.7142857142857143,0.8,0.0,0.15440015,0.060621466,3,0.010954511987118082,1,7,0.6805555820465088,0.11922926211902464
32,Qatar,,4,2,6,4.0,2.0,6.0,2.0,0.625,0.7,0.0,0.10547543,0.041289557,3,0.010355233193779656,1,6,0.6333333253860474,0.07221724796319219
33,Singapore,,7,5,12,7.0,5.0,12.0,1.0,1.0,1.0,0.15362318840579708,0.17186645,0.09006321,8,0.011377823768401671,1,22,0.5984848737716675,0.1427352691969408
34,South Africa,,6,4,10,6.0,4.0,10.0,2.0,0.8333333333333334,0.9,0.08695652173913043,0.15440015,0.075992435,3,0.010954511987118082,1,15,0.6222222447395325,0.11922926211902464
35,South Korea,,26,3,29,32.0,3.0,35.0,2.0,0.8,0.875,1.4202898550724636,0.27503568,0.05666053,3,0.11173800539788292,1,3,0.30199429392814636,0.8989430548380339
36,Spain,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.009305426712704892,7,34,0.0,0.0
37,Sweden,,6,5,11,6.0,5.0,11.0,1.0,1.0,1.0,0.15362318840579708,0.15440015,0.09006321,8,0.010954511987118082,1,12,0.5727272629737854,0.11922926211902464
38,Switzerland,,32,4,36,38.0,4.0,42.0,1.0,1.0,1.0,14.986956521739131,0.29371393,0.06941843,8,0.13825806080153322,1,3,0.23618538677692413,1.0
39,Taiwan,,7,4,11,7.0,4.0,11.0,2.0,0.8333333333333334,0.9,0.08695652173913043,0.17186645,0.075992435,8,0.011377823768401671,1,19,0.6454545259475708,0.1427352691969408
40,UAE,,4,4,8,4.0,4.0,8.0,2.0,0.8333333333333334,0.9,0.08695652173913043,0.10547543,0.075992435,3,0.010355233193779656,1,13,0.5714285969734192,0.07221724796319219
41,UK,,6,33,39,6.0,36.0,42.0,1.0,1.0,1.0,6.453623188405797,0.14475672,0.38569397,3,0.011115342386119135,1,27,0.23351158201694489,0.11922926211902464
42,US,,6,30,36,6.0,33.0,39.0,2.0,0.9166666666666666,0.9545454545454546,3.953623188405797,0.14644442,0.36168218,8,0.011092078633591814,1,27,0.26236557960510254,0.11922926211902464
