id,label,timeset,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1,All reporting countries,,0.0,0.0,0,0.012147202778956305,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,Australia,,0.17655115,0.22346532,5,0.02701674882531513,1,16,0.47147950530052185,0.9373881318420252,2.0,0.96875,0.9838709677419355,4.985381285381285
3,Austria,,0.17824201,0.21629372,4,0.024600320550465463,1,16,0.46302521228790283,0.8798052992201736,2.0,0.9393939393939394,0.967741935483871,4.23547841047841
4,Bahamas,,0.16977149,0.0,4,0.0250788737848561,1,1,0.6929824352264404,0.828181703428303,0.0,0.0,0.0,0.0
5,Belgium,,0.0,0.2363685,3,0.012147202778956305,1,17,0.4858871102333069,0.0,1.0,1.0,1.0,0.0
6,Bermuda,,0.17918319,0.0,3,0.024995564383422646,1,2,0.7631579041481018,0.9483319513207679,0.0,0.0,0.0,0.0
7,Brazil,,0.0,0.19386865,5,0.012147202778956305,1,18,0.5766666531562805,0.0,2.0,0.8205128205128205,0.890625,0.0
8,Canada,,0.19536778,0.13134988,5,0.03378942930561146,1,16,0.5118279457092285,0.938841787592035,2.0,0.6888888888888889,0.7741935483870968,6.8414585414585405
9,Cayman Islands,,0.18733223,0.0,5,0.030246513478585493,1,9,0.7214285731315613,0.9375299923941964,0.0,0.0,0.0,0.0
10,Chile,,0.0,0.16441004,5,0.012147202778956305,1,19,0.5452380776405334,0.0,2.0,0.7441860465116279,0.828125,0.0
11,China,,0.19405906,0.0,5,0.0289515030963147,1,5,0.6245059370994568,0.9502996441175261,0.0,0.0,0.0,0.0
12,Denmark,,0.1771635,0.22892281,4,0.02453465519812752,1,16,0.4452380836009979,0.8798052992201736,1.0,1.0,1.0,5.429140304140305
13,Finland,,0.0,0.15137805,4,0.012147202778956305,1,20,0.46578946709632874,0.0,2.0,0.7272727272727273,0.8125,0.0
14,France,,0.18408549,0.22863191,5,0.03227398847389848,1,16,0.43618619441986084,0.8802898511368434,1.0,1.0,1.0,6.547827172827174
15,Germany,,0.19921453,0.0,4,0.03568541692333704,1,15,0.6778656244277954,1.0,0.0,0.0,0.0,0.0
16,Greece,,0.0,0.039820056,4,0.012147202778956305,1,21,0.550000011920929,0.0,2.0,0.5423728813559322,0.578125,0.0
17,Guernsey,,0.1486223,0.16248913,5,0.022103608193811942,1,16,0.6100000143051147,0.7694406443914612,2.0,0.7560975609756098,0.8387096774193549,0.4642857142857142
18,Hong Kong,,0.19237421,0.0,5,0.03187580664307498,1,12,0.7121211886405945,0.9993441024010806,0.0,0.0,0.0,0.0
19,Ireland,,0.17776747,0.22296317,4,0.03195022146748932,1,16,0.4453781545162201,0.9378726837586956,2.0,0.96875,0.9838709677419355,16.276401376401378
20,Isle of Man,,0.0,0.2363685,3,0.012147202778956305,1,22,0.4858871102333069,0.0,1.0,1.0,1.0,0.0
21,Israel,,0.16945891,0.0,3,0.021912577886226206,1,6,0.6929824352264404,0.8323952039139348,0.0,0.0,0.0,0.0
22,Japan,,0.19452608,0.0,5,0.03179395155385974,1,13,0.6640316247940063,1.0,0.0,0.0,0.0,0.0
23,Jersey,,0.14777893,0.23015778,3,0.024854180995464728,1,16,0.4725378751754761,0.8267280476782927,1.0,1.0,1.0,2.007775557775558
24,Jordan,,0.14120042,0.0,3,0.018828862295325984,1,8,0.8523809313774109,0.7620918631490244,0.0,0.0,0.0,0.0
25,Luxembourg,,0.18961556,0.2283995,4,0.030610138580744475,1,16,0.4354354441165924,0.9383572356753651,1.0,1.0,1.0,8.309731934731936
26,Macao,,0.0,0.0,1,0.012147202778956305,2,23,0.0,0.0,0.0,0.0,0.0,0.0
