id,label,timeset,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1,All reporting countries,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.011207253755425672,0,0,0.0,0.0
2,Australia,,1.0,1.0,1.0,3.5514132925897632,0.1792025,0.2072151,3,0.02655351298805214,1,15,0.47098514437675476,0.8878368972120481
3,Austria,,2.0,0.9393939393939394,0.967741935483871,4.091217932394402,0.18453062,0.19481865,2,0.025025412959339775,1,15,0.48079657554626465,0.9422944649617717
4,Bahamas,,0.0,0.0,0.0,0.0,0.17131914,0.0,2,0.02588520432033859,1,2,0.6600790619850159,0.8904922436469536
5,Belgium,,1.0,1.0,1.0,0.0,0.0,0.21401002,3,0.011207253755425672,1,16,0.5342742204666138,0.0
6,Bermuda,,0.0,0.0,0.0,0.0,0.17563914,0.0,3,0.024826184458815213,1,8,0.717391312122345,0.9410717908519926
7,Brazil,,2.0,0.8421052631578947,0.90625,0.0,0.0,0.17758417,1,0.011207253755425672,1,17,0.5476922988891602,0.0
8,Canada,,2.0,0.8611111111111112,0.9193548387096774,10.695989549666015,0.18656823,0.17573924,1,0.034285073565843156,1,15,0.470839262008667,0.9427580997973168
9,Cayman Islands,,0.0,0.0,0.0,0.0,0.16095816,0.0,1,0.028125364958613595,1,10,0.6452381014823914,0.7684188205728552
10,Chile,,2.0,0.8205128205128205,0.890625,0.0,0.0,0.17117351,1,0.011207253755425672,1,18,0.5666666626930237,0.0
11,China,,0.0,0.0,0.0,0.0,0.18142015,0.0,1,0.030879806005922838,1,12,0.6233333349227905,0.9422944649617717
12,Denmark,,2.0,0.8857142857142857,0.9354838709677419,3.684954751131221,0.18503594,0.18149185,2,0.025084241022040512,1,15,0.5039682388305664,0.9422944649617717
13,Finland,,2.0,0.7111111111111111,0.796875,0.0,0.0,0.13001768,2,0.011207253755425672,1,19,0.707602322101593,0.0
14,France,,1.0,1.0,1.0,3.5514132925897632,0.1792025,0.2072151,2,0.03306681815062087,1,15,0.47098514437675476,0.8878368972120481
15,Germany,,0.0,0.0,0.0,0.0,0.19191767,0.0,2,0.037525860998211064,1,14,0.6538461446762085,1.0
16,Greece,,2.0,0.5423728813559322,0.578125,0.0,0.0,0.03465839,1,0.011207253755425672,1,20,0.6000000238418579,0.0
17,Guernsey,,1.0,1.0,1.0,2.007466961143432,0.1447909,0.2085199,3,0.02188978250666107,1,15,0.5100840330123901,0.8315247901201419
18,Hong Kong,,1.0,1.0,1.0,3.5514132925897632,0.1792025,0.2072151,1,0.0293087144883021,1,15,0.47098514437675476,0.8878368972120481
19,Ireland,,1.0,1.0,1.0,14.665088506264977,0.1788838,0.20722719,2,0.031249256018338212,1,15,0.45681512355804443,0.9422944649617717
