id,label,timeset,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
20,Isle of Man,,1.0,1.0,1.0,0.0,0.0,0.21401002,3,0.011207253755425672,1,21,0.5342742204666138,0.0
21,Israel,,0.0,0.0,0.0,0.0,0.19191767,0.0,3,0.02459720621212925,1,9,0.6538461446762085,1.0
22,Japan,,0.0,0.0,0.0,0.0,0.18830188,0.0,1,0.031655559573196095,1,11,0.63692307472229,1.0
23,Jersey,,1.0,1.0,1.0,1.0411110947875652,0.14686106,0.2084414,3,0.023195530519247214,1,15,0.5100840330123901,0.8315247901201412
24,Jordan,,0.0,0.0,0.0,0.0,0.15193243,0.0,3,0.02009795135030094,1,4,0.821052610874176,0.9459001326849654
25,Luxembourg,,1.0,1.0,1.0,4.451102492278962,0.17739438,0.20728366,2,0.03083950032363029,1,15,0.47098514437675476,0.8877079111939956
26,Macao,,2.0,0.9696969696969697,0.984375,0.0,0.0,0.20824912,1,0.011207253755425672,1,22,0.551612913608551,0.0
27,Mexico,,2.0,0.8421052631578947,0.90625,0.0,0.0,0.17812015,1,0.011207253755425672,1,23,0.5861538648605347,0.0
28,Morocco,,0.0,0.0,0.0,0.0,0.15787697,0.0,2,0.018057240278847076,1,1,0.7309523820877075,0.8894172717565184
29,Netherlands,,2.0,0.7209302325581395,0.8064516129032258,2.163251454427925,0.18705958,0.12812215,1,0.033316934579086195,1,15,0.529411792755127,0.9422944649617717
30,New Zealand,,0.0,0.0,0.0,0.0,0.18032603,0.0,3,0.02051791602713793,1,7,0.6811594367027283,0.9416831279068822
31,Norway,,0.0,0.0,0.0,0.0,0.17474258,0.0,2,0.022695337578788388,1,3,0.6699604988098145,0.8839775928686554
32,Qatar,,0.0,0.0,0.0,0.0,0.17374334,0.0,3,0.023003620313238105,1,6,0.7509881258010864,0.998165988835331
33,Singapore,,0.0,0.0,0.0,0.0,0.18212962,0.0,1,0.030775035514383042,1,13,0.6829710006713867,0.9416831279068822
34,South Africa,,2.0,0.9117647058823529,0.9516129032258065,1.3334249084249081,0.16828498,0.18938586,3,0.022211905765749405,1,15,0.5226891040802002,0.8327867086087241
35,South Korea,,1.0,1.0,1.0,3.278656882333353,0.17231086,0.20747642,1,0.022094991437824004,1,15,0.47165992856025696,0.8333793294623212
36,Spain,,1.0,1.0,1.0,0.0,0.0,0.21401002,2,0.011207253755425672,1,24,0.5342742204666138,0.0
37,Sweden,,2.0,0.96875,0.9838709677419355,13.249637290813759,0.17887212,0.20112449,2,0.027901116682526806,1,15,0.46728307008743286,0.9422944649617717
38,Switzerland,,1.0,1.0,1.0,4.8387148798913495,0.18406758,0.20703062,3,0.03482320573999387,1,15,0.47031038999557495,0.9422944649617717
39,Taiwan,,1.0,1.0,1.0,3.5514132925897632,0.1792025,0.2072151,1,0.023156939329167483,1,15,0.47098514437675476,0.8878368972120481
40,UAE,,0.0,0.0,0.0,0.0,0.18698771,0.0,3,0.027467819830037644,1,5,0.6850000023841858,0.9993886629451104
41,UK,,1.0,1.0,1.0,4.8387148798913495,0.18406758,0.20703062,3,0.03970561947969073,1,15,0.47031038999557495,0.9422944649617717
42,US,,2.0,0.96875,0.9838709677419355,3.4550152461917167,0.17933899,0.2017198,1,0.038108818096121204,1,15,0.48364153504371643,0.9418308301262266
