id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1,All reporting countries,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.007596213505996722,0,0,0.0,0.0
2,Australia,,7,31,38,59.099999999999994,148.4999994277954,207.59999942779538,2.0,0.9696969696969697,0.984375,5.1343137254901965,0.14949498,0.35500178,8,0.009572794610389502,1,26,0.24092741310596466,0.17647191382867944
3,Austria,,8,3,11,54.8,20.5,75.3,1.0,1.0,1.0,0.1801470588235294,0.17747091,0.041822195,4,0.00943979039282188,1,8,0.5909090638160706,0.17742492878244373
4,Bahamas,,8,1,9,57.6,7.0,64.6,2.0,0.6,0.6666666666666666,0.0,0.17747091,0.015850019,4,0.009489485871617468,1,6,0.6805555820465088,0.17742492878244373
5,Belgium,,0,32,32,0.0,243.60000000000002,243.60000000000002,2.0,0.9705882352941176,0.9848484848484849,0.0,0.0,0.36060637,4,0.007596213505996722,1,27,0.2358870953321457,0.0
6,Bermuda,,8,2,10,55.1,13.7,68.8,2.0,0.75,0.8333333333333334,0.0,0.1710941,0.031538382,8,0.009492789294109323,1,18,0.6555555462837219,0.18147244897551565
7,Brazil,,0,25,25,0.0,161.0,161.0,2.0,0.8048780487804879,0.8787878787878788,0.0,0.0,0.30126593,4,0.007596213505996722,1,28,0.2800000011920929,0.0
8,Canada,,8,19,27,64.10000000000001,215.0,279.1,2.0,0.7111111111111111,0.796875,1.0801470588235293,0.17747091,0.22965485,8,0.009865573457720466,1,26,0.38311687111854553,0.17742492878244373
9,Cayman Islands,,8,3,11,71.4,25.4,96.80000000000001,1.0,1.0,1.0,0.1801470588235294,0.17747091,0.041822195,4,0.009950137862113555,1,13,0.5909090638160706,0.17742492878244373
10,Chile,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.007596213505996722,2,29,0.0,0.0
11,China,,9,2,11,68.5,13.1,81.6,2.0,0.75,0.8333333333333334,0.0,0.19253102,0.031538382,8,0.010059794601375379,1,19,0.6727272868156433,0.20725621757649232
12,Denmark,,8,3,11,45.7,17.9,63.6,1.0,1.0,1.0,0.1801470588235294,0.17747091,0.041822195,4,0.009096370792854103,1,11,0.5909090638160706,0.17742492878244373
13,Finland,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.007596213505996722,3,30,0.0,0.0
14,France,,8,32,40,82.50000000000001,317.3000001907348,399.8000001907348,1.0,1.0,1.0,8.48014705882353,0.16893564,0.3598119,4,0.010580316082943034,1,26,0.2388591766357422,0.17742492878244373
15,Germany,,9,3,12,97.99999999999999,30.500000000000004,128.5,1.0,1.0,1.0,0.1801470588235294,0.19253102,0.041822195,4,0.011063076244607853,1,24,0.6136363744735718,0.20725621757649232
16,Greece,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.007596213505996722,4,31,0.0,0.0
17,Guernsey,,6,1,7,39.2,6.7,45.900000000000006,2.0,0.6,0.6666666666666666,0.0,0.13576171,0.015850019,4,0.00886151717741938,1,3,0.738095223903656,0.14606193873093687
18,Hong Kong,,9,2,11,82.7,19.1,101.80000000000001,2.0,0.75,0.8333333333333334,0.0,0.19253102,0.031538382,8,0.01051523647682231,1,16,0.6727272868156433,0.20725621757649232
19,Ireland,,32,2,34,283.5999999046326,8.100000000000001,291.69999990463265,1.0,1.0,1.0,18.18014705882353,0.24170081,0.025972176,4,0.2800132793878935,1,2,0.25284090638160706,1.0
20,Isle of Man,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.007596213505996722,5,32,0.0,0.0
21,Israel,,8,3,11,40.60000000000001,11.200000000000001,51.80000000000001,1.0,1.0,1.0,0.1801470588235294,0.17232434,0.041822195,8,0.008982932914542933,1,9,0.581818163394928,0.17742492878244373
22,Japan,,9,3,12,83.69999999999999,24.5,108.19999999999999,1.0,1.0,1.0,0.1801470588235294,0.19253102,0.041822195,8,0.010549952695116292,1,22,0.6136363744735718,0.20725621757649232
23,Jersey,,7,1,8,53.800000000000004,4.7,58.50000000000001,2.0,0.6,0.6666666666666666,0.0,0.15771481,0.015850019,4,0.009296617791762938,1,7,0.7678571343421936,0.17589322752498582
24,Jordan,,6,1,7,26.1,3.7,29.8,3.0,0.5,0.611111111111111,0.0,0.13750814,0.015688363,4,0.008445344667294756,1,10,0.738095223903656,0.14606193873093687
25,Luxembourg,,9,3,12,84.8,23.1,107.9,1.0,1.0,1.0,0.1801470588235294,0.19253102,0.041822195,4,0.010516197337442575,1,17,0.6136363744735718,0.20725621757649232
26,Macao,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.007596213505996722,6,33,0.0,0.0
27,Mexico,,17,0,17,127.30000000000001,0.0,127.30000000000001,0.0,0.0,0.0,0.0,0.15682039,0.0,4,0.14579806628289535,1,1,0.37132352590560913,0.6528423142104419
28,Morocco,,4,2,6,26.6,7.1,33.7,2.0,0.75,0.8333333333333334,0.0,0.09279128,0.031538382,4,0.008369272578145015,1,20,0.6333333253860474,0.09102556763960445
29,Netherlands,,8,26,34,72.3,265.20000038146975,337.50000038146976,2.0,0.8421052631578947,0.90625,3.013480392156863,0.17232434,0.30813655,4,0.01015457918259098,1,26,0.30158731341362,0.17742492878244373
30,New Zealand,,6,2,8,31.4,9.100000000000001,40.5,2.0,0.75,0.8333333333333334,0.0,0.13750814,0.031538382,8,0.008732098759307395,1,14,0.6964285969734192,0.14606193873093687
