id,label,timeset,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1,All reporting countries,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.011883429362732406,0,0,0.0,0.0
2,Australia,,1.0,1.0,1.0,5.18998223998224,0.17984664,0.21940698,2,0.028220132491517252,1,16,0.4534534513950348,0.938840998474286
3,Austria,,2.0,0.9393939393939394,0.967741935483871,4.302958152958152,0.18152383,0.20649706,3,0.025034103207112163,1,16,0.44736841320991516,0.8820999691265151
4,Bahamas,,0.0,0.0,0.0,0.0,0.17383051,0.0,3,0.025003070547861116,1,5,0.6738095283508301,0.8778329954373779
5,Belgium,,1.0,1.0,1.0,0.0,0.0,0.22664072,3,0.011883429362732406,1,17,0.49495968222618103,0.0
6,Bermuda,,0.0,0.0,0.0,0.0,0.17585745,0.0,3,0.025758755013919565,1,12,0.7404761910438538,0.9489573478521844
7,Brazil,,2.0,0.7804878048780488,0.859375,0.0,0.0,0.16895415,2,0.011883429362732406,1,18,0.5474308133125305,0.0
8,Canada,,2.0,0.7209302325581395,0.8064516129032258,6.938278388278388,0.19134481,0.14016536,2,0.033779769223261924,1,16,0.5131048560142517,0.9398015371250231
9,Cayman Islands,,0.0,0.0,0.0,0.0,0.16654977,0.0,2,0.029165108397865524,1,9,0.6684210300445557,0.8277951837163595
10,Chile,,2.0,0.7804878048780488,0.859375,0.0,0.0,0.16897775,2,0.011883429362732406,1,19,0.5395256876945496,0.0
11,China,,0.0,0.0,0.0,0.0,0.19054459,0.0,2,0.029159114573508886,1,8,0.614130437374115,0.9508920620831344
12,Denmark,,2.0,0.9393939393939394,0.967741935483871,3.067171717171717,0.1663744,0.20769341,3,0.024414407122905473,1,16,0.4815126061439514,0.8279598191346405
13,Finland,,2.0,0.7619047619047619,0.84375,0.0,0.0,0.1585024,3,0.011883429362732406,1,20,0.5411255359649658,0.0
