id,label,timeset,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
14,France,,1.0,1.0,1.0,5.1390109890109885,0.18026774,0.21939005,3,0.03306233375127772,1,16,0.4542042016983032,0.938840998474286
15,Germany,,0.0,0.0,0.0,0.0,0.1954672,0.0,3,0.03660175812802858,1,15,0.6666666865348816,1.0
16,Greece,,2.0,0.5423728813559322,0.578125,0.0,0.0,0.037673842,2,0.011883429362732406,1,21,0.550000011920929,0.0
17,Guernsey,,2.0,0.775,0.8548387096774194,1.1343156843156843,0.1529172,0.16006051,3,0.01992630839777683,1,16,0.5701970458030701,0.7705432201966328
18,Hong Kong,,0.0,0.0,0.0,0.0,0.1954672,0.0,2,0.030819273156903762,1,11,0.6666666865348816,1.0
19,Ireland,,1.0,1.0,1.0,16.532600732600734,0.18136346,0.21934597,3,0.030994134432557333,1,16,0.4324324429035187,0.9393212677996544
20,Isle of Man,,1.0,1.0,1.0,0.0,0.0,0.22664072,3,0.011883429362732406,1,22,0.49495968222618103,0.0
21,Israel,,0.0,0.0,0.0,0.0,0.17493443,0.0,3,0.022367604202641563,1,2,0.6833333373069763,0.8889235203954886
22,Japan,,0.0,0.0,0.0,0.0,0.19060728,0.0,2,0.030801145543598463,1,10,0.6485507488250732,1.0
23,Jersey,,1.0,1.0,1.0,1.9793706293706292,0.15309018,0.22048317,3,0.024911392223074265,1,16,0.4777183532714844,0.8801788918250404
24,Jordan,,0.0,0.0,0.0,0.0,0.1314699,0.0,3,0.01813003337229134,1,3,0.8619047403335571,0.7648218016019146
25,Luxembourg,,1.0,1.0,1.0,5.199267399267399,0.17984569,0.21940702,3,0.03130181820170784,1,16,0.4534534513950348,0.938840998474286
26,Macao,,2.0,0.9411764705882353,0.96875,0.0,0.0,0.21520695,2,0.011883429362732406,1,23,0.5321838855743408,0.0
27,Mexico,,2.0,0.8648648648648649,0.921875,0.0,0.0,0.1965011,2,0.011883429362732406,1,24,0.561253547668457,0.0
28,Morocco,,0.0,0.0,0.0,0.0,0.13814735,0.0,3,0.01698644417652988,1,1,0.7333333492279053,0.71261636584099
29,Netherlands,,2.0,0.8378378378378378,0.9032258064516129,3.0389277389277396,0.188168,0.18147363,2,0.03234459575456402,1,16,0.5262096524238586,0.9393212677996544
30,New Zealand,,0.0,0.0,0.0,0.0,0.16929671,0.0,3,0.019632063411063286,1,7,0.6763157844543457,0.8280801527768616
31,Norway,,0.0,0.0,0.0,0.0,0.1898295,0.0,3,0.025915523824281795,1,6,0.6600790619850159,0.9391566323813733
32,Qatar,,0.0,0.0,0.0,0.0,0.15279885,0.0,3,0.020358856633874708,1,4,0.8039215803146362,0.8758982812064277
33,Singapore,,0.0,0.0,0.0,0.0,0.18909197,0.0,2,0.03153897606697528,1,14,0.7015810012817383,0.99935509525635
34,South Africa,,2.0,0.9117647058823529,0.9516129032258065,4.17026307026307,0.18737185,0.20126808,3,0.024569166899752026,1,16,0.4848739504814148,0.9393212677996544
35,South Korea,,1.0,1.0,1.0,4.425208125208125,0.17381938,0.2196494,2,0.023605186788379653,1,16,0.45495495200157166,0.8920505304912943
36,Spain,,0.0,0.0,0.0,0.0,0.0,0.0,1,0.011883429362732406,2,25,0.0,0.0
37,Sweden,,2.0,0.96875,0.9838709677419355,14.921522921522918,0.18279411,0.21258952,3,0.027812689152387077,1,16,0.43527737259864807,0.8825802384518839
38,Switzerland,,1.0,1.0,1.0,5.998723498723499,0.1866533,0.2191332,3,0.034490903461322324,1,16,0.4452347159385681,0.9393212677996544
39,Taiwan,,1.0,1.0,1.0,5.284920634920635,0.18020494,0.21939257,2,0.023162830345701938,1,16,0.44594594836235046,0.892530799816663
40,UAE,,0.0,0.0,0.0,0.0,0.16813783,0.0,3,0.024715771675991868,1,13,0.7236841917037964,0.8882786156518387
41,UK,,1.0,1.0,1.0,5.998723498723499,0.1866533,0.2191332,3,0.03902122524261967,1,16,0.4452347159385681,0.9393212677996544
42,US,,2.0,0.96875,0.9838709677419355,4.678754578754579,0.18051551,0.21322949,2,0.03756122957787457,1,16,0.45495495200157166,0.9388409984742863
