Source,Target,Weight
2,42,10.77
2,41,10.48
2,33,9.79
2,18,9.49
2,22,9.27
2,11,8.96
2,38,8.81
2,15,8.44
2,8,8.20
2,39,7.88
2,30,7.83
2,29,7.35
2,19,7.12
2,14,6.65
2,9,6.59
2,35,6.53
2,40,6.22
2,6,5.92
2,31,5.73
2,25,5.70
2,34,5.69
2,37,4.94
2,21,4.87
2,12,4.50
2,23,4.46
2,24,4.35
2,3,3.94
2,4,3.14
2,32,3.03
2,17,2.59
2,28,0.22
3,15,11.01
3,41,9.15
3,38,8.74
3,14,8.18
3,42,7.89
3,25,7.80
3,29,7.69
3,23,7.33
3,9,6.76
3,40,6.08
3,22,6.07
3,19,6.07
3,8,5.89
3,37,5.62
3,18,5.55
3,33,5.53
3,31,5.24
3,21,4.79
3,34,4.79
3,2,4.76
3,39,4.53
3,11,4.14
3,24,3.97
3,4,3.95
3,30,3.31
3,6,2.95
3,35,2.78
3,28,2.70
3,32,2.24
5,41,11.14
5,29,11.09
5,25,10.41
5,14,10.23
5,15,10.09
5,42,9.95
5,22,9.95
5,19,9.76
5,38,9.11
5,9,9.06
5,23,8.50
5,33,8.01
5,18,7.88
5,12,7.75
5,40,7.55
5,35,7.50
5,37,7.19
5,34,7.16
5,11,6.89
5,4,6.86
5,6,6.82
5,8,6.72
5,39,6.68
5,32,6.68
5,3,6.61
5,2,6.13
5,21,5.92
5,17,5.75
5,31,5.74
5,28,5.35
5,24,4.79
5,30,3.32
7,42,10.58
7,9,9.84
7,3,9.52
7,41,9.06
7,14,8.30
7,29,7.82
7,4,7.71
7,22,7.55
7,15,7.50
7,8,6.92
7,38,5.46
7,25,4.44
7,11,4.33
7,39,4.13
7,18,3.83
7,31,3.43
7,32,2.83
7,35,2.30
7,19,1.95
7,6,0.00
7,33,0.00
7,34,0.00
7,37,0.00
8,42,12.32
8,41,11.02
8,15,8.21
8,18,7.98
8,11,7.88
8,38,7.48
8,2,7.40
8,39,7.18
8,33,7.18
8,22,7.11
8,29,6.90
8,6,6.89
8,25,6.83
8,14,6.83
8,19,6.73
8,40,5.34
8,35,5.28
8,34,5.24
8,21,5.22
10,42,9.19
10,15,7.20
10,8,7.03
10,4,7.01
10,41,6.68
10,11,5.51
10,29,5.49
10,34,5.34
10,9,5.09
10,38,5.06
10,14,4.94
10,33,4.87
10,18,4.66
10,12,4.64
10,35,4.50
10,31,3.81
10,2,2.30
10,37,2.30
10,3,2.08
10,21,2.08
10,22,1.95
10,39,1.39
10,30,0.00
12,37,10.72
12,41,10.58
12,31,9.94
12,38,9.80
12,15,9.79
12,42,9.66
12,14,9.12
12,29,8.44
12,25,8.28
12,19,8.09
12,33,7.57
12,3,6.81
12,11,6.38
12,2,6.15
12,40,5.96
12,8,5.94
12,17,5.86
12,18,5.51
12,21,5.42
12,22,5.39
12,4,5.36
12,34,4.18
12,32,4.10
12,6,3.46
12,30,3.33
12,24,3.31
12,23,3.30
12,35,2.59
12,39,2.36
13,37,11.22
13,15,10.07
13,41,9.95
13,31,9.82
13,12,9.72
13,38,8.60
13,25,8.26
13,29,8.08
13,19,6.96
13,4,5.62
13,3,5.24
13,11,4.38
13,8,2.32
13,21,1.99
13,2,1.64
13,18,1.36
13,34,0.72
13,30,0.68
13,40,0.67
13,17,0.53
13,28,-0.16
13,39,-0.45
14,41,12.93
14,42,12.11
14,15,11.86
14,25,11.73
14,38,10.89
14,19,10.57
14,29,10.42
14,9,10.34
14,18,10.06
14,22,9.87
14,31,9.44
14,17,9.41
14,12,9.40
14,33,9.35
14,11,9.19
14,23,8.99
14,3,8.94
14,2,8.90
14,8,8.88
14,40,8.08
14,37,7.90
14,28,7.78
14,4,7.77
14,6,6.95
14,34,6.69
14,32,6.46
14,30,6.43
14,24,6.26
14,21,5.98
14,39,5.72
14,35,5.14
16,8,5.96
16,19,3.56
16,37,3.22
16,11,1.95
16,22,0.00
17,38,10.87
17,23,9.52
17,41,9.28
17,42,9.24
17,25,7.23
17,19,6.76
17,9,6.61
17,29,6.05
17,4,6.03
17,8,5.99
17,14,5.91
17,34,5.84
17,18,5.70
17,33,5.58
17,2,5.22
17,15,4.09
17,22,3.97
17,32,3.69
17,37,2.89
17,3,2.71
17,31,1.95
17,12,1.61
19,41,11.74
19,14,10.49
19,15,10.45
19,29,10.17
19,42,9.77
19,38,8.49
19,12,8.48
19,9,8.31
19,4,6.98
19,23,6.84
19,25,6.76
19,6,6.55
19,33,6.05
19,31,5.85
19,8,5.28
19,3,5.28
19,2,5.13
19,18,4.90
19,37,4.77
19,17,4.70
19,35,4.69
19,22,4.09
19,34,3.69
19,40,3.32
19,30,2.94
19,21,2.29
19,11,1.70
19,28,0.98
19,32,0.61
19,39,-0.03
19,24,-1.29
20,41,9.60
20,34,8.61
20,38,8.15
20,23,8.01
20,2,7.76
20,42,7.53
20,19,7.40
20,40,6.98
20,17,6.71
20,14,6.38
20,8,6.18
20,18,6.14
20,21,5.93
20,22,5.89
20,9,5.80
20,33,5.70
20,11,5.65
20,30,5.60
20,15,5.45
20,6,5.27
20,29,5.22
20,32,4.83
20,4,4.79
20,25,4.76
20,39,4.61
20,3,4.20
20,37,3.74
20,31,3.57
20,35,3.14
20,24,2.91
20,12,2.89
20,28,2.81
23,41,10.36
23,38,10.32
23,17,9.65
23,25,8.83
23,42,8.54
23,14,8.41
23,18,8.08
23,40,7.87
23,33,7.63
23,34,7.58
23,9,7.55
23,29,7.48
23,19,7.34
23,2,6.81
23,15,6.67
23,8,6.65
23,4,6.42
23,22,6.28
23,6,6.24
23,21,6.19
23,32,6.02
23,11,5.66
23,30,5.43
23,12,4.80
23,37,4.78
23,31,4.43
23,3,4.26
23,24,3.95
23,39,3.74
23,35,3.61
23,28,2.89
25,15,12.12
25,38,11.05
25,14,11.04
25,41,10.17
25,33,9.49
25,29,9.33
25,9,9.04
25,19,9.02
25,37,8.86
25,11,8.68
25,42,8.55
25,18,8.50
25,4,8.43
25,23,7.93
25,22,7.60
25,17,7.57
25,12,7.29
25,31,7.16
25,8,7.07
25,3,6.88
25,6,6.85
25,40,6.81
25,21,6.71
25,2,6.67
25,39,6.64
25,35,6.29
25,34,6.17
