id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1,All reporting countries,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00863204985415392,0,0,0.0,0.0
2,Australia,,6,32,38,49.29999999999999,239.80000019073486,289.1000001907349,1.0,1.0,1.0,2.0733333333333337,0.13027704,0.35480416,9,0.010270518003990564,1,26,0.25189393758773804,0.1347167685661866
3,Austria,,9,3,12,68.7,19.6,88.30000000000001,1.0,1.0,1.0,0.09,0.18713479,0.04447966,1,0.011113189691779777,1,13,0.6136363744735718,0.18690714232347866
4,Bahamas,,6,2,8,51.400000000000006,13.399999999999999,64.80000000000001,2.0,0.75,0.8333333333333334,0.0,0.12942058,0.031867754,5,0.01036372766566658,1,6,0.5892857313156128,0.10495797059105794
5,Belgium,,0,32,32,0.0,255.2,255.2,2.0,0.9705882352941176,0.9848484848484849,0.0,0.0,0.3505348,5,0.00863204985415392,1,27,0.2489919364452362,0.0
6,Bermuda,,8,3,11,48.0,16.6,64.6,1.0,1.0,1.0,0.09,0.16996887,0.04447966,9,0.010179658883097971,1,8,0.5909090638160706,0.15939834405384734
7,Brazil,,0,23,23,0.0,153.89999999999998,153.89999999999998,2.0,0.7674418604651163,0.8484848484848485,0.0,0.0,0.26502243,1,0.00863204985415392,1,28,0.2667984068393707,0.0
8,Canada,,8,27,35,68.0,262.29999999999995,330.29999999999995,2.0,0.8648648648648649,0.921875,4.123333333333333,0.16761674,0.3047932,9,0.011033215028669283,1,26,0.29080459475517273,0.15939834405384734
9,Cayman Islands,,7,3,10,72.8,27.999999999999996,100.8,1.0,1.0,1.0,0.09,0.15045081,0.04447966,1,0.011192841088469095,1,23,0.5666666626930237,0.13188954578421622
10,Chile,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.00863204985415392,2,29,0.0,0.0
11,China,,9,3,12,87.0,16.3,103.3,1.0,1.0,1.0,0.09,0.18713479,0.04447966,9,0.011774161724181961,1,19,0.6136363744735718,0.18690714232347866
