Source,Target,Weight
2,42,10.82
2,41,10.35
2,33,9.82
2,18,9.19
2,22,9.19
2,11,9.14
2,15,8.95
2,38,8.30
2,8,8.06
2,30,8.03
2,39,7.76
2,29,7.70
2,40,7.24
2,9,7.07
2,14,6.54
2,25,6.53
2,35,6.16
2,19,6.00
2,34,5.67
2,21,4.85
2,37,4.79
2,6,4.67
2,12,4.52
2,23,4.35
2,24,4.24
2,3,3.93
2,32,3.20
2,17,2.75
2,31,2.73
2,4,2.42
2,28,0.14
3,15,10.83
3,41,9.00
3,38,8.42
3,25,8.01
3,14,7.82
3,42,7.69
3,29,7.42
3,9,6.72
3,40,6.70
3,22,6.03
3,8,5.73
3,19,5.72
3,18,5.27
3,37,5.18
3,21,4.86
3,39,4.66
3,4,4.65
3,34,4.53
3,11,4.35
3,32,4.30
3,33,4.29
3,2,4.25
3,17,4.23
3,24,4.21
3,12,4.20
3,6,3.53
3,35,3.00
3,30,2.72
3,28,2.43
5,41,11.08
5,25,10.71
5,29,10.51
5,14,10.24
5,22,9.86
5,15,9.82
5,42,9.71
5,19,9.70
5,38,8.99
5,9,8.91
5,33,8.52
5,18,8.43
5,23,8.24
5,12,7.58
5,37,7.55
5,32,7.36
5,40,7.15
5,39,7.10
5,3,7.01
5,11,6.94
5,35,6.93
5,4,6.80
5,34,6.77
5,6,6.73
5,8,6.55
5,31,6.38
5,21,6.38
5,2,6.17
5,17,6.16
5,24,5.41
5,28,5.06
5,30,4.17
7,42,10.90
7,3,9.79
7,9,9.69
7,41,9.06
7,14,8.77
7,29,8.26
7,22,7.90
7,4,7.42
7,15,7.09
7,8,6.93
7,25,6.14
7,32,4.94
7,38,4.93
7,11,4.79
7,33,4.03
7,39,3.89
7,18,3.56
7,6,3.18
7,31,2.08
7,35,1.95
7,19,1.79
7,40,1.39
7,2,0.69
7,12,0.00
7,21,0.00
7,34,0.00
8,42,12.51
8,41,11.22
8,11,9.25
8,14,8.98
8,29,8.95
8,18,8.22
8,38,8.21
8,15,7.86
8,22,7.70
8,2,7.54
8,39,7.32
8,33,7.14
8,6,6.66
8,19,6.15
8,21,5.57
8,40,5.46
8,35,5.30
8,3,5.10
8,12,4.88
8,37,4.77
8,30,4.76
8,32,3.92
8,24,3.79
8,31,3.41
8,28,3.34
8,23,2.52
10,42,8.80
10,8,7.45
10,29,6.99
10,4,6.93
10,22,6.52
10,41,6.29
10,15,6.16
10,38,5.05
10,11,5.02
10,18,4.27
10,14,4.04
10,33,3.69
10,40,3.40
10,9,2.65
10,39,2.19
10,35,1.69
10,21,-0.68
10,12,-0.92
10,25,-0.94
10,2,-0.97
10,34,-1.13
10,37,-1.34
10,30,-3.51
10,3,-3.77
10,31,-4.83
12,37,10.53
12,15,10.02
12,41,9.96
12,31,9.65
12,38,9.34
12,42,8.91
12,14,8.44
12,29,8.33
12,25,7.80
12,19,7.60
12,33,7.39
12,3,7.19
12,2,6.18
12,17,6.05
12,8,5.64
12,40,5.49
12,22,5.37
12,4,5.35
12,18,5.25
12,34,4.77
12,21,4.08
12,23,3.66
12,30,3.17
12,32,3.16
12,6,3.13
12,24,2.91
12,39,2.25
13,37,11.21
13,15,9.85
13,12,9.80
13,41,9.48
13,38,8.62
13,25,7.94
13,29,7.61
13,14,7.34
13,19,7.16
13,4,4.77
13,3,4.69
13,8,2.53
13,21,1.75
13,18,1.63
13,2,1.56
13,35,0.48
13,30,0.29
13,28,0.13
13,39,-0.52
14,41,12.80
14,42,12.07
14,25,11.80
14,15,11.72
14,9,10.90
14,38,10.89
14,19,10.61
14,22,10.54
14,29,10.48
14,18,9.96
14,31,9.84
14,33,9.60
14,8,9.11
14,12,9.08
14,17,9.01
14,2,9.01
14,11,8.99
14,23,8.92
14,40,8.37
14,3,8.25
14,28,7.78
14,37,7.73
14,4,7.29
14,34,7.07
14,32,7.03
14,6,6.83
14,24,6.73
14,35,6.28
14,21,6.16
14,30,5.35
14,39,5.19
16,8,5.87
16,19,3.83
16,37,3.22
16,11,2.48
16,22,0.00
17,38,10.92
17,23,9.42
17,42,9.03
17,41,9.01
17,19,6.58
17,9,6.41
17,14,6.34
17,4,6.30
17,29,6.21
17,6,6.06
17,40,6.03
17,34,5.60
17,18,5.57
17,33,5.26
17,21,5.21
17,25,5.16
17,8,5.06
17,2,5.03
17,32,4.80
17,15,4.03
17,30,3.78
17,22,3.68
17,24,2.89
17,37,2.62
17,3,2.49
17,31,1.71
17,11,1.59
17,28,0.93
17,12,0.54
17,39,-0.29
17,35,-0.57
18,11,12.02
18,22,11.72
18,33,11.16
18,42,10.85
18,41,10.84
18,39,10.77
18,35,10.21
18,14,10.21
18,29,10.18
18,9,9.97
18,2,9.61
18,38,9.52
18,8,9.14
18,15,9.03
18,40,8.67
18,4,7.92
18,6,7.87
18,30,7.58
18,25,7.38
18,23,7.29
18,3,7.02
18,37,6.84
18,19,6.28
18,17,6.18
18,21,6.02
18,34,6.00
18,32,5.82
18,31,5.16
18,12,4.54
18,24,2.61
18,28,2.37
19,41,11.43
19,14,10.63
19,15,10.23
19,29,10.20
19,42,9.69
19,9,8.20
19,12,7.96
19,38,7.85
19,25,7.41
19,4,6.51
19,33,6.08
19,6,6.02
19,31,5.97
19,8,5.83
19,23,5.06
19,2,4.84
19,18,4.83
19,3,4.80
19,21,4.18
19,17,3.88
19,11,3.80
19,37,3.71
19,34,3.53
19,30,2.77
19,40,2.72
19,22,2.50
19,39,1.24
19,32,0.94
19,28,0.90
19,24,-0.45
19,35,-0.58
20,41,9.66
20,34,8.82
20,23,8.01
20,38,7.81
20,42,7.33
20,19,7.05
20,40,6.97
20,17,6.65
20,2,6.39
20,14,6.23
20,8,6.03
20,18,5.94
20,21,5.87
20,9,5.85
20,22,5.79
20,33,5.46
20,30,5.46
20,6,5.39
20,15,5.30
20,11,5.01
20,29,4.92
20,25,4.64
20,4,4.63
20,32,4.59
20,39,4.40
20,37,3.60
20,3,3.46
20,31,3.40
20,12,2.86
20,35,2.83
20,24,2.59
20,28,2.07
23,41,10.32
23,38,9.93
23,17,9.59
23,42,8.61
23,14,8.36
23,29,8.20
23,18,7.94
23,40,7.87
23,25,7.83
23,9,7.74
23,33,7.55
23,34,7.52
23,19,7.10
23,2,6.67
23,15,6.58
23,6,6.49
23,8,6.38
23,4,6.27
23,21,6.15
23,22,5.85
23,32,5.77
23,11,5.33
23,30,5.32
23,37,4.52
23,31,4.14
23,12,4.08
23,24,4.01
23,3,3.85
23,35,3.83
23,39,3.43
23,28,2.83
25,15,11.98
25,14,11.10
25,38,10.84
25,41,9.95
25,11,9.20
25,19,9.16
25,9,9.11
25,33,9.08
25,37,8.86
25,42,8.67
25,4,8.65
25,29,8.57
25,18,7.90
25,8,7.78
25,23,7.70
25,22,7.58
25,21,7.28
25,31,7.24
25,17,7.18
25,12,6.90
25,6,6.81
25,40,6.76
25,3,6.59
25,2,6.22
25,39,5.93
25,28,5.80
25,35,5.68
25,34,5.13
25,30,5.03
25,32,4.56
25,24,2.70
26,18,10.13
26,11,9.68
26,14,7.56
26,39,7.20
26,9,7.07
26,15,6.85
26,38,6.55
26,42,6.23
26,2,6.15
26,33,6.05
26,29,5.66
26,30,5.42
26,22,5.08
26,41,5.01
26,8,4.72
26,6,4.57
26,25,4.27
26,35,3.88
26,40,3.77
26,34,3.75
26,4,3.11
26,37,1.06
26,31,0.93
26,12,0.88
26,19,0.64
26,28,0.23
26,23,0.22
26,17,-1.08
26,3,-1.57
26,21,-2.48
26,32,-6.21
27,42,9.35
27,41,7.24
27,8,7.19
27,15,6.16
27,14,5.37
27,22,4.85
27,9,4.78
27,21,4.71
27,29,4.66
27,25,4.09
27,38,3.99
27,33,3.35
27,2,3.15
27,35,2.90
27,3,1.72
27,6,1.67
27,19,1.02
27,37,0.79
27,31,0.48
27,12,-0.26
27,18,-0.59
27,34,-0.95
27,11,-2.80
27,40,-3.04
27,39,-3.10
27,30,-4.96
29,41,11.81
29,42,11.34
29,15,11.27
29,38,10.35
29,19,10.18
29,25,10.04
29,22,8.78
29,37,8.70
29,8,8.61
29,40,7.95
29,3,7.90
29,12,7.85
29,17,7.18
29,32,6.95
29,11,6.75
29,21,6.34
29,4,5.83
29,24,5.80
29,28,3.03
34,41,9.30
34,15,7.10
34,42,6.95
34,11,6.61
34,14,5.92
34,40,5.68
34,25,5.66
34,23,5.47
34,38,5.31
34,39,5.09
34,33,4.84
34,8,4.76
34,2,4.48
34,32,4.33
34,29,4.22
34,35,4.19
34,19,4.06
34,18,3.47
34,22,3.43
34,12,2.89
34,17,2.30
34,21,2.30
34,31,2.30
34,3,2.08
34,37,2.08
34,30,1.79
34,9,1.61
34,6,0.00
35,18,9.14
35,42,9.14
35,33,8.90
35,41,8.57
35,22,8.46
35,11,8.43
35,15,7.85
35,25,7.46
35,8,7.11
35,40,6.22
35,38,6.16
35,3,5.88
35,9,5.76
35,29,5.66
35,39,5.59
35,2,5.52
35,32,5.01
35,14,4.74
35,31,3.90
35,6,3.70
35,37,3.57
35,30,3.43
35,19,3.15
35,12,2.37
35,34,2.27
35,17,1.98
35,21,1.46
35,23,0.07
35,24,-0.02
35,28,-0.19
35,4,-1.23
36,14,11.82
36,41,10.94
36,15,10.86
36,29,9.21
36,42,9.09
36,19,8.93
36,38,8.80
36,25,8.57
36,18,7.73
36,3,7.34
36,9,6.74
36,31,6.69
36,2,6.09
36,28,6.08
36,8,5.91
36,12,5.79
36,37,5.68
36,22,5.60
36,39,5.29
36,40,4.86
36,33,4.79
36,11,4.78
36,4,4.47
36,35,4.32
36,6,4.00
36,21,4.00
36,34,3.85
36,32,3.58
36,24,2.92
36,23,2.36
36,30,2.00
36,17,1.09
37,12,10.62
37,41,10.03
37,42,9.91
37,31,9.57
37,15,9.49
37,25,9.33
37,33,8.21
37,38,7.73
37,29,7.39
37,14,7.35
37,18,7.14
37,34,6.92
37,19,6.82
37,2,6.57
37,11,5.68
37,32,5.64
37,22,5.49
37,8,5.40
37,24,5.16
37,6,5.10
37,3,5.05
37,40,5.04
37,23,4.11
37,4,3.20
37,21,3.02
37,39,2.63
37,35,2.28
37,28,1.95
37,30,1.70
37,17,1.00
38,41,11.35
38,15,10.69
38,14,10.43
38,25,10.38
38,42,10.16
38,33,9.78
38,17,9.71
38,4,9.59
38,18,9.50
38,9,9.35
38,29,8.94
38,40,8.93
38,21,8.86
38,3,8.74
38,23,8.65
38,6,8.27
38,8,8.11
38,22,8.05
38,24,7.90
38,34,7.88
38,19,7.72
38,37,7.60
38,30,7.40
38,32,7.26
38,2,7.17
38,28,6.89
38,11,6.87
38,35,6.84
38,39,6.71
38,12,6.05
38,31,5.51
39,18,10.73
39,33,9.97
39,41,9.30
39,42,9.29
39,22,9.18
39,9,8.33
39,11,8.17
39,14,7.85
39,29,7.67
39,2,7.45
39,35,7.28
39,38,7.24
39,15,6.29
39,25,6.05
39,19,5.82
39,8,5.75
39,6,5.70
39,31,4.62
39,23,3.97
39,4,3.57
39,37,3.45
39,21,3.31
39,34,3.16
39,30,3.16
39,17,2.73
39,12,2.66
39,3,2.40
39,32,1.98
39,40,1.74
39,28,1.51
39,24,0.97
41,42,13.72
41,15,12.81
41,38,12.38
41,14,12.37
41,29,12.29
41,19,12.28
41,9,12.25
41,23,12.09
41,22,11.85
41,25,11.69
41,11,11.24
41,18,11.22
41,33,11.13
41,2,11.08
41,17,10.96
41,8,10.71
41,40,10.57
41,37,10.24
41,4,10.17
41,31,10.12
41,34,9.84
41,12,9.78
41,6,9.69
41,39,9.46
41,32,9.42
41,3,9.34
41,35,8.77
41,21,8.76
41,30,8.42
41,24,8.25
41,28,6.66
