id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1,All reporting countries,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.009117972251342065,0,0,0.0,0.0
2,Australia,,7,33,40,58.0,218.39999961853027,276.3999996185303,1.0,1.0,1.0,3.560119047619048,0.15665911,0.368528,8,0.011035146755834592,1,27,0.24064171314239502,0.17089710536917013
3,Austria,,7,4,11,51.900000000000006,27.200000000000003,79.10000000000001,1.0,1.0,1.0,0.11011904761904762,0.16261658,0.056645848,4,0.010840100534603053,1,9,0.6090909242630005,0.17089710536917013
4,Bahamas,,7,2,9,57.099999999999994,14.8,71.89999999999999,3.0,0.5714285714285714,0.7083333333333334,0.047619047619047616,0.16261658,0.028995687,4,0.010986356736010965,1,5,0.6944444179534912,0.17089710536917013
5,Belgium,,0,32,32,0.0,214.8,214.8,2.0,0.9444444444444444,0.9705882352941176,0.0,0.0,0.35327455,4,0.009117972251342065,1,28,0.24294355511665344,0.0
6,Bermuda,,8,1,9,64.6,8.4,73.0,3.0,0.5,0.5833333333333333,0.0,0.18082194,0.015820475,4,0.011306087288635247,1,16,0.7916666865348816,0.19912606825890908
7,Brazil,,21,0,21,78.3,0.0,78.3,0.0,0.0,0.0,0.0,0.20094603,0.0,4,0.09578714528472773,1,2,0.37857142090797424,0.8446209860995185
8,Canada,,7,24,31,57.1,244.60000019073485,301.70000019073484,2.0,0.7857142857142857,0.8636363636363636,1.0101190476190476,0.16261658,0.2776648,8,0.011023005564924627,1,27,0.33000001311302185,0.17089710536917013
9,Cayman Islands,,7,4,11,70.89999999999999,33.6,104.5,1.0,1.0,1.0,0.11011904761904762,0.16261658,0.056645848,4,0.011484892402700888,1,24,0.6090909242630005,0.17089710536917013
10,Chile,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.009117972251342065,2,29,0.0,0.0
11,China,,8,3,11,71.2,17.2,88.4,2.0,0.8,0.875,0.047619047619047616,0.18082194,0.04429611,8,0.011562936513656646,1,21,0.6909090876579285,0.19912606825890908
12,Denmark,,7,3,10,49.60000000000001,22.8,72.4,2.0,0.8,0.875,0.0625,0.16261658,0.043470636,4,0.010764366594185304,1,13,0.6555555462837219,0.17089710536917013
13,Finland,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.009117972251342065,3,30,0.0,0.0
14,France,,7,33,40,76.70000000000002,328.8000005722046,405.5000005722046,1.0,1.0,1.0,3.560119047619048,0.15665911,0.368528,4,0.011788059212311096,1,27,0.24064171314239502,0.17089710536917013
15,Germany,,8,4,12,89.5,37.300000000000004,126.80000000000001,1.0,1.0,1.0,0.11011904761904762,0.18082194,0.056645848,8,0.012165251840765362,1,26,0.6363636255264282,0.19912606825890908
16,Greece,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.009117972251342065,4,31,0.0,0.0
17,Guernsey,,7,1,8,55.3,7.8,63.099999999999994,3.0,0.5,0.5833333333333333,0.0,0.1584564,0.015820475,4,0.010963321280566946,1,7,0.7678571343421936,0.17089710536917013
