Source,Target,Weight
20,23,8.17
20,42,7.21
20,40,6.91
20,19,6.83
20,17,6.77
20,38,6.66
20,2,6.26
20,22,6.22
20,9,6.21
20,14,6.20
20,18,5.81
20,8,5.80
20,21,5.80
20,6,5.69
20,33,5.43
20,30,5.28
20,15,5.27
20,32,5.00
20,11,4.99
20,29,4.94
20,4,4.85
20,25,4.68
20,39,4.59
20,37,3.47
20,3,3.41
20,31,3.14
20,35,2.74
20,12,2.65
20,24,2.57
20,28,2.02
23,41,10.51
23,38,9.69
23,17,9.43
23,40,7.89
23,42,7.87
23,9,7.80
23,34,7.36
23,18,7.29
23,14,7.28
23,19,6.80
23,33,6.65
23,2,6.54
23,6,6.41
23,4,6.33
23,8,6.23
23,21,6.13
23,22,6.05
23,25,6.02
23,29,5.87
23,15,5.81
23,32,5.72
23,30,5.16
23,11,4.90
23,37,4.36
23,31,3.87
23,35,3.87
23,24,3.85
23,3,3.83
23,12,3.78
23,39,3.37
23,28,2.83
25,15,11.74
25,14,10.97
25,38,10.66
25,41,9.88
25,19,9.40
25,9,9.37
25,42,9.10
25,33,9.04
25,29,8.84
25,18,8.63
25,11,8.56
25,4,8.49
25,37,7.99
25,23,7.90
25,22,7.43
25,8,7.35
25,31,7.32
25,40,7.21
25,21,7.11
25,3,6.93
25,17,6.91
25,2,6.68
25,6,6.66
25,35,6.52
25,39,6.39
25,12,6.32
25,28,5.24
25,34,4.78
25,32,4.74
25,30,4.13
25,24,2.93
26,18,10.44
26,11,9.72
26,39,8.17
26,35,8.16
26,9,7.63
26,42,7.37
26,22,7.35
26,14,6.78
26,33,6.32
26,25,6.24
26,2,5.84
26,15,5.56
26,38,5.36
26,29,4.74
26,41,4.40
26,8,4.38
26,6,4.19
26,34,3.48
26,19,2.41
26,4,0.81
26,12,0.78
26,23,0.60
26,3,0.31
26,31,0.01
26,30,-0.25
26,40,-0.34
26,28,-0.41
26,37,-0.52
26,21,-2.23
27,42,8.99
27,8,6.47
27,15,6.20
27,41,6.17
27,22,6.13
27,9,5.90
27,21,5.37
27,14,5.22
27,25,4.98
27,38,4.21
27,35,3.95
27,29,3.91
27,33,3.76
27,2,2.15
27,3,1.37
27,6,1.34
27,37,0.77
27,12,0.36
27,31,-0.17
27,19,-0.42
27,18,-1.42
27,34,-1.80
27,11,-3.27
27,40,-3.35
27,30,-5.12
27,39,-5.81
28,41,12.03
28,15,11.26
28,42,11.23
28,14,10.72
28,38,10.17
28,25,10.15
28,19,10.14
28,33,9.72
28,18,9.32
28,23,8.56
28,8,8.45
28,37,8.38
28,3,7.94
28,40,7.90
28,12,7.64
28,30,7.59
28,34,7.18
28,31,6.95
28,11,6.48
28,21,6.35
28,32,5.89
34,41,9.15
34,11,7.25
34,15,7.16
34,42,6.96
34,40,6.61
34,14,6.18
34,18,6.05
34,25,5.93
34,33,5.19
34,9,5.10
34,23,4.92
34,39,4.62
34,38,4.39
34,22,4.37
34,29,4.30
34,2,4.23
34,19,4.11
34,32,3.33
34,8,3.14
34,17,3.09
34,21,2.40
34,37,2.30
34,12,2.20
34,35,2.08
34,3,1.95
34,31,1.95
34,30,1.79
34,6,0.00
35,18,9.45
35,42,9.08
35,11,8.97
35,33,8.63
35,41,8.17
35,22,8.05
35,15,7.22
35,25,6.41
35,39,6.40
35,8,6.30
35,38,6.30
35,2,6.05
35,9,5.79
35,40,5.66
35,3,5.58
35,14,4.79
35,31,4.40
35,29,3.72
35,32,3.67
35,19,3.62
35,30,3.60
35,17,3.56
35,37,3.21
35,6,1.93
35,12,1.76
35,34,0.80
35,21,0.15
35,4,-0.10
35,28,-0.17
35,23,-0.41
35,24,-1.44
36,14,11.47
36,15,10.85
36,41,10.63
36,29,9.25
36,25,9.03
36,42,9.03
36,38,8.52
36,19,8.32
36,18,8.18
36,3,7.27
36,2,6.94
36,9,6.20
36,8,6.00
36,40,5.93
36,28,5.87
36,37,5.76
36,22,5.73
36,39,5.63
36,12,5.12
36,31,5.02
36,11,4.99
36,33,4.97
36,21,3.90
36,34,3.84
36,32,3.55
36,35,3.26
36,24,3.02
36,4,2.85
36,6,2.67
36,30,2.16
36,23,1.84
36,17,0.33
37,12,10.63
