Source,Target,Weight
2,42,10.08
2,41,9.30
2,33,8.89
2,18,8.77
2,14,8.46
2,22,8.42
2,15,7.69
2,29,7.39
2,39,7.34
2,11,7.24
2,30,7.04
2,38,6.66
2,40,5.63
2,8,5.59
2,6,5.56
2,25,5.49
2,19,5.20
2,12,5.04
2,37,5.01
2,34,4.99
2,9,4.87
2,35,4.32
2,21,3.69
2,3,3.26
2,24,3.26
2,31,1.95
2,23,1.61
2,17,1.10
2,32,1.10
2,4,0.00
5,41,11.82
5,29,11.67
5,14,11.21
5,25,10.96
5,38,10.79
5,42,10.48
5,15,10.40
5,18,9.11
5,19,8.77
5,33,8.76
5,22,8.76
5,12,8.50
5,23,8.32
5,3,8.16
5,9,7.97
5,37,7.92
5,21,7.84
5,35,7.69
5,34,7.33
5,11,7.28
5,17,7.26
5,4,7.19
5,40,7.16
5,31,7.11
5,2,7.00
5,39,6.76
5,28,6.69
5,8,6.65
5,6,6.57
5,24,6.09
5,32,6.01
5,30,5.19
7,42,9.73
7,41,8.19
7,9,8.04
7,3,7.80
7,14,7.19
7,4,7.05
7,22,7.03
7,29,6.94
7,15,6.92
7,8,6.66
7,38,5.78
7,19,5.45
7,25,4.83
7,35,4.58
7,37,4.52
7,11,3.74
7,18,3.04
7,39,2.71
7,33,1.10
7,31,0.69
7,40,0.69
7,34,0.00
10,42,8.10
10,15,6.31
10,41,5.88
10,29,5.87
10,22,5.64
10,8,5.39
10,35,5.18
10,14,4.47
10,11,4.41
10,18,4.37
10,4,3.95
10,38,3.71
10,2,3.50
10,3,2.08
10,9,1.95
10,39,1.95
10,33,1.10
10,37,0.69
10,19,0.00
10,31,0.00
10,40,0.00
12,15,10.60
12,41,10.08
12,37,9.77
12,31,8.68
12,29,8.63
12,25,8.62
12,42,8.31
12,38,8.05
12,14,7.70
12,19,7.49
12,33,7.28
12,3,6.99
12,18,6.95
12,9,6.92
12,40,6.49
12,21,6.36
12,11,6.21
12,4,6.01
12,22,5.94
12,6,5.67
12,24,5.66
12,34,5.63
12,17,5.42
12,23,5.08
12,32,4.98
12,39,4.51
12,8,4.39
12,28,4.29
12,2,3.83
12,35,2.40
12,30,1.79
13,37,9.61
13,42,9.46
13,15,8.71
13,41,8.59
13,31,7.31
13,33,7.30
13,12,7.21
13,38,6.98
13,25,6.62
13,14,6.61
13,3,6.39
13,11,5.68
13,4,5.34
13,22,5.30
13,23,4.49
13,21,3.83
13,8,3.74
13,29,3.64
13,32,3.09
13,19,3.04
13,40,2.71
