Source,Target,Weight
2,42,10.93
2,41,10.56
2,33,9.93
2,18,9.74
2,22,9.11
2,38,8.87
2,11,8.71
2,8,8.53
2,15,8.49
2,39,7.97
2,30,7.76
2,14,7.18
2,29,6.95
2,40,6.47
2,9,6.09
2,25,6.03
2,34,6.01
2,19,5.75
2,35,5.64
2,37,5.59
2,6,5.54
2,3,5.47
2,23,4.95
2,21,4.89
2,12,4.85
2,24,4.38
2,31,3.33
2,17,3.15
2,32,2.80
2,4,1.87
2,28,-0.33
3,15,10.97
3,41,9.41
3,38,9.12
3,14,9.09
3,42,8.23
3,25,7.59
3,29,7.55
3,40,6.72
3,23,6.67
3,18,6.67
3,19,6.47
3,22,6.23
3,4,5.66
3,8,5.64
3,37,5.12
3,21,4.76
3,12,4.76
3,24,4.75
3,39,4.71
3,32,4.68
3,34,4.61
3,33,4.56
3,31,4.54
3,2,4.51
3,11,4.12
3,30,3.45
3,6,2.67
3,28,2.32
5,29,11.21
5,41,11.12
5,25,10.42
5,14,10.27
5,22,10.11
5,15,9.96
5,42,9.86
5,19,9.61
5,38,9.10
5,9,8.86
5,18,8.79
5,23,8.69
5,33,8.26
5,35,7.89
5,11,7.82
5,12,7.55
5,40,7.05
5,3,7.02
5,4,6.98
5,6,6.96
5,34,6.89
5,32,6.79
5,39,6.75
5,37,6.63
5,8,6.61
5,31,6.38
5,17,6.09
5,2,5.87
5,21,5.79
5,28,5.77
5,24,4.77
5,30,3.37
7,42,10.65
7,9,9.82
7,3,9.42
7,41,9.04
7,14,8.45
7,4,8.25
7,22,7.89
7,15,7.36
7,29,6.77
7,8,6.45
7,38,6.27
7,19,5.88
7,18,5.66
7,25,4.97
7,39,4.65
7,17,4.62
7,12,4.22
7,11,4.19
7,31,3.47
7,37,3.18
7,35,3.00
7,33,1.79
7,6,0.00
7,34,0.00
7,40,0.00
8,42,12.36
8,41,10.79
8,15,7.97
8,18,7.79
8,11,7.60
8,14,7.27
8,39,7.20
8,33,7.18
8,2,7.08
8,6,6.84
8,38,6.83
8,22,6.51
8,19,6.30
8,29,6.08
8,25,5.67
8,40,5.18
8,35,5.06
8,21,5.04
8,31,4.96
8,12,4.79
10,42,9.33
10,8,7.49
10,41,7.20
10,15,7.20
10,11,5.62
10,22,5.48
10,31,5.09
10,38,4.90
10,9,4.74
10,35,4.63
10,12,4.50
10,14,4.43
10,18,4.32
10,3,3.40
10,29,3.37
10,39,3.30
10,37,3.14
10,33,3.09
10,21,2.64
10,34,2.40
10,2,2.30
12,41,10.80
12,37,10.68
12,15,9.89
12,25,9.51
12,38,9.45
12,29,8.78
12,42,8.55
12,19,8.42
12,31,8.17
12,14,7.97
12,33,7.63
12,3,7.20
12,18,6.92
12,35,5.98
