Source,Target,Type,Weight
2,42,Directed,11.22
2,41,Directed,10.94
2,33,Directed,10.66
2,18,Directed,10.38
2,14,Directed,10.1
2,22,Directed,9.82
2,15,Directed,9.54
2,29,Directed,9.26
2,39,Directed,8.98
2,11,Directed,8.7
2,30,Directed,8.42
2,38,Directed,8.14
2,40,Directed,7.86
2,8,Directed,7.58
2,6,Directed,7.3
2,25,Directed,7.02
2,19,Directed,6.74
2,12,Directed,6.46
2,37,Directed,6.18
2,34,Directed,5.9
2,9,Directed,5.62
2,35,Directed,5.34
2,21,Directed,5.06
2,3,Directed,4.78
2,24,Directed,4.5
2,31,Directed,4.22
2,23,Directed,3.94
2,17,Directed,3.66
2,32,Directed,3.38
2,4,Directed,3.1
5,41,Directed,11.44
5,29,Directed,11.14
5,14,Directed,10.83
5,25,Directed,10.53
5,38,Directed,10.22
5,42,Directed,9.91
5,15,Directed,9.61
5,18,Directed,9.3
5,19,Directed,8.99
5,33,Directed,8.69
5,22,Directed,8.38
5,12,Directed,8.08
5,23,Directed,7.77
5,3,Directed,7.46
5,9,Directed,7.16
5,37,Directed,6.85
5,21,Directed,6.54
5,35,Directed,6.24
5,34,Directed,5.93
5,11,Directed,5.63
5,17,Directed,5.32
5,4,Directed,5.01
5,40,Directed,4.71
5,31,Directed,4.4
5,2,Directed,4.09
5,39,Directed,3.79
5,28,Directed,3.48
5,8,Directed,3.18
5,6,Directed,2.87
5,24,Directed,2.56
5,32,Directed,2.26
5,30,Directed,1.95
7,42,Directed,10.61
7,41,Directed,10.16
7,9,Directed,9.71
7,3,Directed,9.26
7,14,Directed,8.82
7,4,Directed,8.37
7,22,Directed,7.92
7,29,Directed,7.47
7,15,Directed,7.03
7,8,Directed,6.58
7,38,Directed,6.13
7,19,Directed,5.68
7,25,Directed,5.24
7,35,Directed,4.79
7,37,Directed,4.34
7,11,Directed,3.89
7,18,Directed,3.44
7,39,Directed,3
7,33,Directed,2.55
7,31,Directed,2.1
7,40,Directed,1.65
7,34,Directed,1.21
14,41,Directed,12.99
14,42,Directed,12.74
14,15,Directed,12.49
14,38,Directed,12.23
14,25,Directed,11.98
14,22,Directed,11.73
14,29,Directed,11.48
14,19,Directed,11.23
14,33,Directed,10.98
14,17,Directed,10.72
14,18,Directed,10.47
14,9,Directed,10.22
14,23,Directed,9.97
14,31,Directed,9.72
14,4,Directed,9.46
14,35,Directed,9.21
14,3,Directed,8.96
14,2,Directed,8.71
14,28,Directed,8.46
14,8,Directed,8.2
14,6,Directed,7.95
14,40,Directed,7.7
14,34,Directed,7.45
14,37,Directed,7.2
14,12,Directed,6.94
14,21,Directed,6.69
14,11,Directed,6.44
14,32,Directed,6.19
14,24,Directed,5.94
14,39,Directed,5.68
14,30,Directed,5.43
41,19,Directed,12.95
42,19,Directed,12.64
15,19,Directed,12.34
14,19,Directed,12.03
29,19,Directed,11.73
9,19,Directed,11.42
38,19,Directed,11.12
22,19,Directed,10.81
25,19,Directed,10.51
12,19,Directed,10.21
8,19,Directed,9.9
3,19,Directed,9.6
33,19,Directed,9.29
37,19,Directed,8.99
17,19,Directed,8.68
4,19,Directed,8.38
18,19,Directed,8.07
6,19,Directed,7.77
40,19,Directed,7.46
34,19,Directed,7.16
11,19,Directed,6.85
2,19,Directed,6.55
23,19,Directed,6.24
31,19,Directed,5.94
28,19,Directed,5.63
21,19,Directed,5.33
39,19,Directed,5.03
30,19,Directed,4.72
32,19,Directed,4.42
24,19,Directed,4.11
35,19,Directed,3.81
42,27,Directed,11.33
41,27,Directed,10.87
29,27,Directed,10.41
15,27,Directed,9.95
14,27,Directed,9.49
9,27,Directed,9.03
38,27,Directed,8.57
25,27,Directed,8.12
8,27,Directed,7.66
2,27,Directed,7.2
