id,label,timeset,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
2,Australia,,0.18884675,0.23243979,0,0.026542430428817296,0,16,0.41741740703582764,0.9344071510118802
42,US,,0.18962333,0.21429986,0,0.03657930766571062,0,16,0.44621849060058594,0.9344071510118802
41,UK,,0.18884675,0.23243979,1,0.03687352552724932,0,16,0.41741740703582764,0.9344071510118802
33,Singapore,,0.1933107,0.0,2,0.031298813965352196,0,12,0.7047619223594666,0.9986097427269165
18,Hong Kong,,0.1933107,0.0,0,0.03177951607375808,0,11,0.7047619223594666,0.9986097427269165
22,Japan,,0.20016903,0.0,0,0.03384689269022169,0,7,0.6126482486724854,1.0
29,Netherlands,,0.19045717,0.0,0,0.03182343597698066,0,14,0.6619047522544861,0.946985037438203
14,France,,0.18884675,0.23243979,1,0.03243134506339387,0,16,0.41741740703582764,0.9344071510118802
30,New Zealand,,0.15321319,0.0,0,0.021638251137941548,0,1,0.9083333611488342,0.9435093942554934
11,China,,0.17717394,0.0,0,0.027489545336250806,0,10,0.7456140518188477,0.9418227506562395
15,Germany,,0.19879764,0.0,1,0.03466834685100275,0,15,0.6645021438598633,0.9993048713634584
39,Taiwan,,0.16368166,0.23351713,0,0.025465597294850515,0,16,0.4285714328289032,0.8808592403442367
38,Switzerland,,0.18884675,0.23243979,2,0.032802524852167114,0,16,0.41741740703582764,0.9344071510118802
9,Cayman Islands,,0.19154094,0.0,2,0.03008282568619835,0,13,0.6547619104385376,0.9342174548147619
40,UAE,,0.16116191,0.0,1,0.023743939490508056,0,5,0.7867646813392639,0.8800019311769985
8,Canada,,0.19291231,0.16950719,0,0.032033119135638076,0,16,0.4573863744735718,0.9349125834513038
25,Luxembourg,,0.18164815,0.23274797,1,0.029680027219270953,0,16,0.4253968298435211,0.9339017185724556
6,Bermuda,,0.1532238,0.0,2,0.02479363321664107,0,3,0.9083333611488342,0.9311212040262881
35,South Korea,,0.18301919,0.19457474,0,0.023718178253255864,0,16,0.469696968793869,0.9339017185724556
34,South Africa,,0.18605398,0.0,2,0.024773891885363317,0,2,0.6973684430122375,0.9335223261782201
19,Ireland,,0.17752501,0.23292449,2,0.03090462202469208,0,16,0.4158730208873749,0.9339017185724556
37,Sweden,,0.17765555,0.22820997,1,0.02818704457073729,0,16,0.4246031641960144,0.8734793921258601
12,Denmark,,0.17342097,0.23310018,1,0.024443897200156835,0,16,0.4238095283508301,0.8729739596864358
21,Israel,,0.17752163,0.0,1,0.024003338270624983,0,6,0.7426900863647461,0.9455947801651192
23,Jersey,,0.1596502,0.23368971,2,0.025777307984235075,0,16,0.44474154710769653,0.872287455868982
24,Jordan,,0.13726832,0.0,1,0.020313771675341232,0,8,0.9230769276618958,0.8223301142726633
3,Austria,,0.17437811,0.23305921,1,0.024118003181928537,0,16,0.42619046568870544,0.8729739596864358
31,Norway,,0.19879764,0.0,1,0.02566023408176318,0,0,0.6645021438598633,0.9993048713634584
17,Guernsey,,0.15179214,0.20294394,2,0.0240437386065611,0,16,0.4978494644165039,0.811521877513661
32,Qatar,,0.10999432,0.0,1,0.01809748612006148,0,4,0.9090909361839294,0.6319863070777275
4,Bahamas,,0.17772411,0.0,1,0.02593036927442592,0,9,0.6900584697723389,0.8688143020237598
28,Morocco,,0.13792068,0.19482249,2,0.018414881266385713,0,16,0.5626780390739441,0.7583172187547463
5,Belgium,,0.0,0.24052444,1,0.01311556897106799,0,17,0.4697580635547638,0.0
7,Brazil,,0.0,0.19015843,0,0.01311556897106799,0,18,0.48731884360313416,0.0
10,Chile,,0.0,0.16784157,0,0.01311556897106799,0,19,0.46190476417541504,0.0
13,Finland,,0.0,0.2098129,1,0.01311556897106799,0,20,0.5299145579338074,0.0
16,Greece,,0.0,0.03203357,0,0.01311556897106799,0,21,0.6666666865348816,0.0
20,Isle of Man,,0.0,0.17398906,2,0.01311556897106799,0,22,0.5757575631141663,0.0
27,Mexico,,0.0,0.12816791,0,0.01311556897106799,0,23,0.675000011920929,0.0
26,Macao,,0.0,0.0,3,0.01311556897106799,1,24,0.0,0.0
36,Spain,,0.0,0.0,4,0.01311556897106799,2,25,0.0,0.0
