Source,Target,Type,Weighgt
41,18,Directed,11.6
41,33,Directed,11.4
41,17,Directed,11.2
41,4,Directed,11
41,8,Directed,10.8
41,12,Directed,10.6
41,2,Directed,10.4
41,31,Directed,10.2
41,40,Directed,10
41,34,Directed,9.8
41,37,Directed,9.6
41,3,Directed,9.4
41,6,Directed,9.2
41,11,Directed,9
41,39,Directed,8.8
41,35,Directed,8.6
41,32,Directed,8.4
41,21,Directed,8.1
41,24,Directed,7.9
41,30,Directed,7.7
41,28,Directed,7.5
42,9,Directed,13.9
42,41,Directed,13.6
42,4,Directed,13.3
42,22,Directed,13
42,15,Directed,12.7
42,8,Directed,12.4
42,11,Directed,12.1
42,14,Directed,11.8
42,25,Directed,11.5
42,19,Directed,11.2
42,33,Directed,10.9
42,39,Directed,10.6
42,29,Directed,10.3
42,18,Directed,10
42,2,Directed,9.7
42,38,Directed,9.4
42,6,Directed,9.1
42,31,Directed,8.8
42,35,Directed,8.5
42,21,Directed,8.2
42,23,Directed,7.9
42,12,Directed,7.6
42,34,Directed,7.3
42,37,Directed,7
42,30,Directed,6.7
42,3,Directed,6.4
42,24,Directed,6.1
42,28,Directed,5.8
