Source,Target,Weight
2,42,10.47
2,41,9.99
2,33,9.56
2,18,9.45
2,22,9.08
2,15,8.64
2,38,8.63
2,29,8.16
2,30,7.98
2,14,7.70
2,11,7.66
2,39,7.48
2,9,7.08
2,8,6.76
2,12,5.87
2,19,5.43
2,25,5.38
2,34,5.37
2,6,5.27
2,40,5.02
2,23,4.66
2,35,4.39
2,24,4.13
2,37,4.06
2,21,4.03
2,3,3.61
2,31,2.48
2,32,2.40
2,4,2.08
2,17,1.61
2,28,0.00
3,15,10.97
3,38,9.69
3,41,9.67
3,14,9.25
3,42,8.09
3,25,7.69
3,29,7.60
3,23,7.52
3,40,6.86
3,9,6.82
3,18,6.75
3,22,6.71
3,19,6.70
3,33,6.14
3,8,6.01
3,4,5.74
3,24,5.38
3,34,5.25
3,39,5.11
3,21,4.87
3,37,4.75
3,31,4.67
3,17,4.65
3,2,4.52
3,11,4.22
3,12,4.11
3,30,2.94
3,35,2.77
3,6,2.40
3,32,2.40
5,41,11.79
5,29,11.28
5,14,11.24
5,15,10.55
5,25,10.35
5,42,10.18
5,38,9.80
5,22,9.74
5,9,9.54
5,19,9.23
5,23,8.62
5,18,8.38
5,33,8.33
5,12,8.19
5,35,7.93
5,31,7.49
5,8,7.41
5,34,7.26
5,4,7.05
5,3,6.89
5,40,6.87
5,6,6.81
5,2,6.78
5,11,6.60
5,39,6.57
5,17,6.42
5,21,6.12
5,37,6.03
5,28,5.70
5,32,5.65
5,24,4.77
5,30,2.56
7,42,10.26
7,9,9.58
7,41,9.42
7,3,8.64
7,14,8.39
7,22,8.12
7,15,7.45
7,4,7.38
7,29,6.97
7,8,6.63
7,25,6.11
7,18,5.84
7,38,5.71
7,35,5.15
7,11,4.20
7,19,4.03
7,37,3.95
7,39,3.18
7,12,3.09
7,31,2.20
7,33,1.79
7,34,1.39
7,2,0.00
7,6,0.00
7,40,0.00
8,42,12.14
8,41,11.07
8,14,7.99
8,11,7.78
8,18,7.76
8,15,7.55
8,39,7.33
8,6,7.12
8,33,7.11
8,19,7.07
8,22,6.66
8,29,6.46
8,38,6.39
8,2,6.08
8,40,5.72
8,25,5.64
8,35,5.21
8,21,5.01
10,42,8.57
10,15,6.48
10,8,6.20
10,41,6.12
10,11,5.51
10,29,5.14
10,38,5.11
10,14,4.47
10,31,4.04
10,18,3.97
10,22,3.64
10,35,3.56
10,33,2.30
10,37,0.69
12,41,10.62
12,15,10.06
12,37,9.81
12,38,9.48
12,31,9.36
12,42,8.87
12,14,8.78
12,19,8.72
12,25,8.62
12,29,8.58
12,33,7.44
12,11,7.41
12,9,7.24
12,3,6.73
12,18,6.15
12,17,6.06
12,2,6.04
12,4,5.83
12,34,5.46
12,40,5.39
12,24,5.24
12,22,5.11
12,8,4.28
12,6,4.13
12,21,3.83
12,30,3.30
12,32,3.09
12,23,2.77
12,35,2.30
12,39,2.20
12,28,1.39
13,37,10.81
13,41,9.58
13,12,9.23
13,15,8.78
13,31,7.94
13,29,7.48
13,19,6.71
13,14,6.48
13,25,6.12
13,4,5.67
13,11,3.18
13,2,1.79
13,3,1.79
13,21,1.79
13,18,1.61
13,39,0.69
13,28,0.69
13,30,0.00
13,35,0.00
14,41,13.07
14,42,12.44
14,15,12.06
14,25,11.64
14,38,11.13
14,18,11.00
14,9,10.81
14,29,10.61
14,22,10.29
14,33,10.26
14,19,10.17
14,17,9.62
14,23,9.36
14,8,9.20
14,2,9.14
14,11,8.95
14,12,8.56
14,6,8.08
14,31,8.00
14,34,8.00
14,28,7.85
14,3,7.80
14,4,7.78
14,35,7.66
14,40,7.55
14,39,7.33
14,37,7.33
14,32,6.94
14,24,6.50
14,21,6.14
14,30,3.69
16,8,6.45
16,37,3.71
16,19,1.79
16,22,1.39
16,11,0.69
17,38,11.06
17,42,9.99
17,23,9.47
17,41,9.44
17,19,8.04
17,33,7.98
17,14,7.91
17,9,6.86
17,29,6.70
17,4,6.48
17,8,6.21
17,34,6.18
17,25,6.04
17,2,5.75
17,18,5.59
17,15,4.62
17,22,4.42
17,31,2.94
17,37,2.94
17,12,2.71
17,3,2.08
17,21,1.61
17,30,1.10
17,40,1.10
19,41,12.42
19,15,11.29
19,14,10.48
19,42,10.33
19,29,10.10
19,9,9.46
19,12,9.27
19,8,9.26
19,38,8.99
19,25,7.99
19,18,7.98
19,4,7.53
19,6,7.34
19,33,7.06
19,17,6.82
19,22,6.58
19,3,6.33
19,2,6.22
19,37,6.22
19,39,6.16
19,11,6.12
19,31,5.68
19,23,5.36
19,34,5.12
19,21,4.41
19,40,3.89
19,30,2.56
19,28,2.20
19,35,1.39
19,32,0.00
20,41,9.92
20,38,8.62
20,34,8.16
20,19,8.05
20,42,7.64
20,23,7.12
20,6,6.99
20,17,6.82
20,14,6.72
20,9,6.70
20,11,6.69
20,15,6.65
20,2,6.53
20,18,6.40
20,8,6.29
20,40,6.15
20,22,6.05
20,33,5.99
20,25,5.56
20,29,5.55
20,30,5.52
20,21,5.47
20,3,4.85
20,37,4.39
20,4,4.28
20,31,3.95
20,32,3.71
20,12,3.26
20,28,2.77
20,35,2.40
20,39,2.20
20,24,2.20
23,38,10.73
23,41,10.40
23,17,9.36
23,42,9.19
23,33,8.66
23,18,8.48
23,29,8.31
23,14,8.30
23,25,8.13
23,9,7.48
23,34,7.44
23,19,7.34
23,40,7.29
23,6,7.06
23,15,7.00
23,2,6.94
23,32,6.80
23,8,6.72
23,21,6.40
23,4,6.38
23,22,6.20
23,30,5.62
23,11,5.12
23,37,4.80
23,31,4.25
23,12,4.23
23,24,4.04
23,3,4.03
23,39,3.78
23,35,3.18
23,28,2.94
25,15,12.24
25,38,11.25
25,14,10.80
25,41,10.21
25,33,9.33
25,29,9.27
25,18,8.98
25,19,8.94
25,9,8.83
25,42,8.56
25,37,8.34
25,23,8.01
25,4,7.79
25,11,7.73
25,17,7.56
25,22,7.50
25,12,7.11
25,6,6.94
25,8,6.75
25,3,6.68
25,2,6.60
25,40,6.59
25,21,6.33
25,31,5.87
25,28,5.08
25,30,4.86
25,39,4.65
25,34,4.58
25,24,3.64
25,35,3.58
25,32,3.30
27,42,9.29
27,41,6.73
27,29,6.49
27,15,6.49
27,38,6.29
27,22,5.58
27,8,5.13
27,14,4.91
27,25,3.43
27,9,2.89
27,37,2.08
27,33,1.79
27,12,1.61
27,3,1.39
27,11,0.00
27,21,0.00
27,35,0.00
29,41,12.52
29,42,11.52
29,38,11.05
29,15,10.69
29,25,10.45
29,33,10.03
29,14,10.02
29,19,9.85
29,23,9.78
29,9,9.18
29,2,9.15
29,18,8.95
29,8,8.86
29,11,8.81
29,22,8.50
29,6,8.39
29,37,8.15
29,17,7.75
29,12,7.53
29,34,7.42
29,3,7.39
29,31,7.06
29,4,6.57
29,39,5.92
29,35,5.08
34,41,8.81
34,42,7.07
34,25,6.71
34,15,6.31
34,11,6.18
34,14,5.83
34,38,5.51
34,22,4.70
34,19,4.65
34,39,4.47
34,2,4.06
34,6,3.81
34,29,3.81
34,8,3.64
34,18,3.64
34,33,3.30
34,3,3.04
34,12,2.83
34,21,2.64
34,37,2.64
34,40,2.48
34,30,1.95
34,17,1.79
34,35,1.61
34,31,1.10
34,9,0.69
34,23,0.69
34,28,0.69
35,18,10.29
35,33,10.17
35,22,9.64
35,42,9.43
35,41,8.87
35,14,8.61
35,11,8.44
35,15,8.01
35,29,7.77
35,2,7.39
35,38,6.44
35,39,6.44
35,8,6.25
35,25,6.14
35,3,5.94
35,40,5.32
35,9,4.75
35,30,3.58
35,31,1.61
35,6,1.10
35,19,1.10
35,34,0.69
35,12,0.00
35,24,0.00
35,37,0.00
37,12,10.53
37,42,10.39
37,41,9.98
37,31,9.75
37,9,9.50
37,15,8.98
37,25,8.21
37,38,8.17
37,11,7.89
37,29,7.62
37,14,7.58
37,33,6.66
37,19,6.65
37,2,6.47
37,22,6.23
37,34,6.12
37,6,6.00
37,24,5.68
37,4,5.39
37,17,5.11
37,3,4.69
37,8,4.25
37,23,3.91
37,21,3.69
37,18,3.53
37,40,3.14
37,35,2.40
37,39,1.79
37,28,1.39
37,30,1.39
37,32,0.00
38,41,11.98
38,42,10.69
38,15,10.67
38,14,10.45
38,25,10.33
38,33,10.28
38,17,10.14
38,4,10.11
38,18,9.79
38,9,9.77
38,29,9.32
38,23,9.11
38,40,9.08
38,6,8.99
38,21,8.90
38,8,8.67
38,22,8.63
38,3,8.52
38,19,8.51
38,39,8.40
38,2,8.35
38,24,7.95
38,34,7.85
38,32,7.65
38,37,7.52
38,28,7.51
38,30,7.41
38,11,7.04
38,31,6.77
38,12,6.47
38,35,6.16
39,18,9.65
39,42,9.47
39,33,9.19
39,41,8.82
39,22,8.41
39,38,8.09
39,14,7.92
39,9,7.91
39,25,7.10
39,11,6.81
39,15,6.46
39,29,6.41
39,2,6.41
39,8,6.23
39,19,6.20
39,35,5.48
39,31,5.30
