id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1,All reporting countries,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.008366214249586305,0,0,0.0,0.0
2,Australia,,8,31,39,61.519999999999996,233.1100001716614,294.6300001716614,2.0,0.9696969696969697,0.984375,7.316666666666666,0.16996156,0.35182825,8,0.010549078258954412,1,26,0.23768939077854156,0.17792571128773135
3,Austria,,8,3,11,56.390000000000015,17.71,74.10000000000002,1.0,1.0,1.0,0.2389705882352941,0.17796735,0.039890803,3,0.010482103085359283,1,8,0.5909090638160706,0.17792571128773135
4,Bahamas,,7,1,8,55.760000000000005,7.22,62.980000000000004,3.0,0.5,0.611111111111111,0.0,0.15639113,0.015750615,3,0.01034315920427994,1,5,0.6607142686843872,0.152136907098299
5,Belgium,,0,32,32,0.0,249.02000000000004,249.02000000000004,2.0,0.9705882352941176,0.9848484848484849,0.0,0.0,0.36298734,3,0.008366214249586305,1,27,0.2348790317773819,0.0
6,Bermuda,,9,2,11,67.5,12.95,80.45,2.0,0.75,0.8333333333333334,0.0,0.19306137,0.031082172,3,0.010772784931482697,1,14,0.6818181872367859,0.20774347301498639
7,Brazil,,0,25,25,0.0,123.05000000000001,123.05000000000001,2.0,0.8048780487804879,0.8787878787878788,0.0,0.0,0.30168363,8,0.008366214249586305,1,28,0.31833332777023315,0.0
8,Canada,,8,19,27,69.7,212.10000080108645,281.80000080108647,2.0,0.7111111111111111,0.796875,0.9723039215686275,0.17796735,0.22989273,8,0.010876226580673852,1,26,0.38311687111854553,0.17792571128773135
9,Cayman Islands,,8,3,11,76.73,22.62,99.35000000000001,1.0,1.0,1.0,0.2389705882352941,0.17796735,0.039890803,3,0.011141080776941847,1,15,0.5909090638160706,0.17792571128773135
10,Chile,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.008366214249586305,2,29,0.0,0.0
11,China,,9,3,12,76.66,18.51,95.17,1.0,1.0,1.0,0.2389705882352941,0.19306137,0.039890803,8,0.011227570640048104,1,21,0.6136363744735718,0.20774347301498639
12,Denmark,,8,3,11,53.580000000000005,18.9,72.48,1.0,1.0,1.0,0.2389705882352941,0.17796735,0.039890803,3,0.010235868695821479,1,17,0.5909090638160706,0.17792571128773135
13,Finland,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.008366214249586305,3,30,0.0,0.0
14,France,,8,32,40,85.75999999999999,319.1599998855591,404.9199998855591,1.0,1.0,1.0,7.555637254901961,0.16938068,0.360675,3,0.011625740997030294,1,26,0.23796790838241577,0.17792571128773135
15,Germany,,9,3,12,99.91000000000001,29.76,129.67000000000002,1.0,1.0,1.0,0.2389705882352941,0.19306137,0.039890803,8,0.012052043708768556,1,24,0.6136363744735718,0.20774347301498639
16,Greece,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.008366214249586305,4,31,0.0,0.0
17,Guernsey,,6,1,7,41.0,6.22,47.22,3.0,0.5,0.611111111111111,0.0,0.13612951,0.015750615,3,0.009738995769857667,1,4,0.738095223903656,0.1465839003294645
18,Hong Kong,,9,2,11,86.60000000000001,19.84,106.44000000000001,2.0,0.75,0.8333333333333334,0.0,0.19306137,0.031082172,8,0.011538321793078914,1,19,0.6818181872367859,0.20774347301498639
19,Ireland,,32,1,33,262.0000004768372,5.74,267.7400004768372,2.0,0.6666666666666666,0.75,11.0,0.23989381,0.015331556,3,0.18096442131268287,1,2,0.2530241906642914,1.0
20,Isle of Man,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.008366214249586305,5,32,0.0,0.0
21,Israel,,7,2,9,45.64,6.390000000000001,52.03,2.0,0.75,0.8333333333333334,0.1764705882352941,0.15299422,0.024559246,3,0.009981566934376894,1,9,0.6388888955116272,0.17640166205671948
22,Japan,,9,3,12,88.86999999999999,25.78,114.64999999999999,1.0,1.0,1.0,0.2389705882352941,0.19306137,0.039890803,8,0.011676883367512561,1,23,0.6136363744735718,0.20774347301498639
23,Jersey,,7,1,8,57.27000000000001,3.56,60.83000000000001,3.0,0.5,0.611111111111111,0.0,0.15815985,0.015750615,3,0.010254243315886046,1,12,0.7678571343421936,0.17640166205671948
24,Jordan,,5,1,6,29.45,4.75,34.2,2.0,0.6,0.6666666666666666,0.0,0.116323985,0.015331556,3,0.0093212126840297,1,11,0.699999988079071,0.12079509614003196
25,Luxembourg,,9,3,12,88.12,22.75,110.87,1.0,1.0,1.0,0.2389705882352941,0.19306137,0.039890803,3,0.011580863852180528,1,20,0.6136363744735718,0.20774347301498639
26,Macao,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.008366214249586305,6,33,0.0,0.0
27,Mexico,,17,0,17,116.19,0.0,116.19,0.0,0.0,0.0,0.0,0.13416214,0.0,8,0.17816848741834077,1,1,0.3125,0.6386906059666485
28,Morocco,,6,1,7,29.939999999999998,1.95,31.889999999999997,3.0,0.5,0.611111111111111,0.0,0.1379002,0.015750615,3,0.009341878271069661,1,3,0.738095223903656,0.1465839003294645
29,Netherlands,,8,26,34,76.13,267.0499995040893,343.1799995040893,2.0,0.8421052631578947,0.90625,2.8556372549019606,0.17280172,0.3085696,3,0.011169598118267095,1,26,0.30291005969047546,0.17792571128773135
30,New Zealand,,6,2,8,36.42,8.92,45.34,2.0,0.75,0.8333333333333334,0.0,0.1379002,0.031082172,8,0.009619066336348603,1,16,0.6964285969734192,0.1465839003294645
31,Norway,,8,2,10,46.25999999999999,10.28,56.53999999999999,2.0,0.75,0.8333333333333334,0.0,0.17796735,0.031082172,3,0.00993912857248048,1,7,0.6666666865348816,0.17792571128773135
32,Qatar,,4,1,5,20.49,1.1,21.59,3.0,0.5,0.611111111111111,0.0,0.094293654,0.015750615,3,0.009024070425700869,1,6,0.6499999761581421,0.09097733441277703
33,Singapore,,9,3,12,82.14000000000001,23.91,106.05000000000001,1.0,1.0,1.0,0.2389705882352941,0.19306137,0.039890803,8,0.01128707390370845,1,18,0.6136363744735718,0.20774347301498639
34,South Africa,,7,28,35,44.99,194.23999965667727,239.22999965667728,2.0,0.8888888888888888,0.9375,2.1,0.15639113,0.32862267,3,0.009867205429894247,1,26,0.27126437425613403,0.152136907098299
35,South Korea,,27,2,29,266.8499993133545,4.65,271.49999931335446,1.0,1.0,1.0,14.238970588235293,0.23351122,0.024559246,8,0.2454724529840079,1,2,0.3095238208770752,0.8889851260771475
36,Spain,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.008366214249586305,7,34,0.0,0.0
37,Sweden,,8,3,11,47.17,15.2,62.370000000000005,1.0,1.0,1.0,0.2389705882352941,0.17796735,0.039890803,3,0.010046903970876007,1,10,0.5909090638160706,0.17792571128773135
38,Switzerland,,8,32,40,78.68999999999998,300.79999996185313,379.48999996185313,1.0,1.0,1.0,7.555637254901961,0.16938068,0.360675,3,0.011276705387682792,1,26,0.23796790838241577,0.17792571128773135
39,Taiwan,,9,2,11,68.47,13.23,81.7,2.0,0.75,0.8333333333333334,0.0,0.19306137,0.031082172,8,0.010895601314271544,1,22,0.6818181872367859,0.20774347301498639
40,UAE,,7,2,9,42.2,9.93,52.13,2.0,0.75,0.8333333333333334,0.0,0.1507714,0.031082172,3,0.009876054012772747,1,13,0.625,0.1481079495604764
41,UK,,9,3,12,108.48,32.03,140.51,1.0,1.0,1.0,0.2389705882352941,0.19306137,0.039890803,8,0.012401885793192395,1,25,0.6136363744735718,0.20774347301498639
42,US,,8,29,37,93.62,318.06999980926514,411.68999980926515,2.0,0.9142857142857143,0.953125,4.838970588235294,0.17103103,0.33553872,8,0.011955812532595266,1,26,0.26774194836616516,0.17792571128773135
