id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1,All reporting countries,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004621625609163035,0,0,0.0,0.0
2,Australia,,6,31,37,50.239999999999995,237.15000057220448,287.3900005722045,2.0,0.9696969696969697,0.984375,1.8625,0.14344233,0.36340606,6,0.005457134441734198,1,27,0.22782258689403534,0.13303858855803216
3,Austria,,8,2,10,65.07,17.509999999999998,82.57999999999998,1.0,1.0,1.0,0.0,0.18596789,0.031962477,8,0.005848425444179297,1,9,0.6555555462837219,0.16033972171984778
4,Bahamas,,8,1,9,68.58999999999999,8.38,76.96999999999998,2.0,0.6666666666666666,0.75,0.0,0.18596789,0.016163906,9,0.005886212231895208,1,3,0.6805555820465088,0.16033972171984778
5,Belgium,,0,32,32,0.0,214.32,214.32,2.0,0.9705882352941176,0.9848484848484849,0.0,0.0,0.36968258,8,0.004621625609163035,1,28,0.22278225421905518,0.0
6,Bermuda,,7,2,9,55.949999999999996,12.559999999999999,68.50999999999999,1.0,1.0,1.0,0.0,0.16781978,0.031962477,8,0.005570813493133504,1,16,0.7222222089767456,0.15862911141588715
7,Brazil,,0,22,22,0.0,129.95,129.95,2.0,0.75,0.8333333333333334,0.0,0.0,0.27054226,9,0.004621625609163035,1,29,0.29004329442977905,0.0
8,Canada,,8,3,11,63.46999999999999,23.740000000000002,87.21,1.0,1.0,1.0,0.13392857142857142,0.18596789,0.04351459,9,0.00578723082157129,1,17,0.5909090638160706,0.16033972171984778
9,Cayman Islands,,8,3,11,80.50999999999999,26.28,106.78999999999999,1.0,1.0,1.0,0.13392857142857142,0.18596789,0.04351459,9,0.00611983171295537,1,11,0.5909090638160706,0.16033972171984778
10,Chile,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.004621625609163035,2,30,0.0,0.0
11,China,,8,3,11,57.78,24.61,82.39,1.0,1.0,1.0,0.13392857142857142,0.18596789,0.04351459,6,0.005664028643672074,1,20,0.5909090638160706,0.16033972171984778
12,Denmark,,7,3,10,52.91,20.020000000000003,72.93,1.0,1.0,1.0,0.0625,0.16781978,0.04351459,8,0.005521935044294362,1,14,0.644444465637207,0.15862911141588715
13,Finland,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.004621625609163035,3,31,0.0,0.0
14,France,,7,32,39,77.89999999999999,317.0599992752076,394.95999927520757,1.0,1.0,1.0,4.817261904761905,0.1611195,0.3704267,9,0.00608388306629793,1,27,0.2245989292860031,0.13407412606903343
15,Germany,,8,3,11,88.28999999999999,33.66,121.94999999999999,1.0,1.0,1.0,0.13392857142857142,0.18596789,0.04351459,9,0.006223713378041831,1,26,0.5909090638160706,0.16033972171984778
16,Greece,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.004621625609163035,4,32,0.0,0.0
17,Guernsey,,6,1,7,50.629999999999995,8.68,59.309999999999995,2.0,0.6666666666666666,0.75,0.0,0.14482652,0.016163906,8,0.005458896642442971,1,5,0.738095223903656,0.13236351576507266
18,Hong Kong,,8,2,10,75.66,20.48,96.14,1.0,1.0,1.0,0.0,0.18596789,0.031962477,6,0.005965372265972434,1,24,0.6555555462837219,0.16033972171984778
19,Ireland,,33,1,34,331.7299995422363,6.87,338.59999954223633,1.0,1.0,1.0,5.0,0.24096258,0.015798572,8,0.39113907662635267,1,2,0.22821970283985138,1.0
20,Isle of Man,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.004621625609163035,5,33,0.0,0.0
21,Israel,,6,2,8,44.41,12.54,56.949999999999996,1.0,1.0,1.0,0.0,0.14671434,0.031962477,8,0.005359278060524188,1,10,0.6964285969734192,0.13236351576507266
22,Japan,,8,3,11,82.94,27.770000000000003,110.71000000000001,1.0,1.0,1.0,0.13392857142857142,0.18596789,0.04351459,9,0.006147323392081566,1,25,0.5909090638160706,0.16033972171984778
23,Jersey,,7,2,9,66.64,10.34,76.98,1.0,1.0,1.0,0.0,0.16781978,0.031962477,8,0.00574382401710469,1,6,0.7222222089767456,0.15862911141588715
24,Jordan,,6,1,7,36.87,4.11,40.98,2.0,0.6666666666666666,0.75,0.0,0.14671434,0.016163906,8,0.005227784677204997,1,8,0.738095223903656,0.13236351576507266
25,Luxembourg,,8,3,11,78.94999999999999,26.189999999999998,105.13999999999999,1.0,1.0,1.0,0.13392857142857142,0.18596789,0.04351459,8,0.006037075114425189,1,15,0.5909090638160706,0.16033972171984778
26,Macao,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.004621625609163035,6,34,0.0,0.0
27,Mexico,,16,0,16,126.17,0.0,126.17,0.0,0.0,0.0,0.0,0.1722125,0.0,9,0.019540706372182318,1,1,0.375,0.4647713146010738
28,Morocco,,5,1,6,33.25,5.63,38.88,2.0,0.6666666666666666,0.75,0.0,0.1223369,0.016163906,8,0.005154028435423706,1,21,0.699999988079071,0.10677299290721796
