Source,Target,Weight
2,41,10.28
2,42,10.24
2,33,9.72
2,18,9.37
2,22,9.17
2,15,8.36
2,14,8.33
2,29,8.22
2,11,7.69
2,30,7.42
2,39,7.07
2,8,6.99
2,25,6.09
2,6,6.06
2,19,5.93
2,9,5.63
2,38,5.13
2,34,4.84
2,12,4.23
2,35,4.22
2,40,4.22
2,37,4.01
2,24,3.22
2,23,3.18
2,21,2.94
2,3,2.89
2,31,1.61
2,32,1.61
2,4,1.10
2,17,0.00
3,15,10.90
3,38,9.81
3,14,9.53
3,41,9.50
3,42,8.79
3,29,7.97
3,25,7.93
3,33,7.87
3,23,7.64
3,19,7.47
3,18,7.38
3,9,6.98
3,22,6.62
3,40,6.61
3,17,6.13
3,12,5.73
3,21,5.61
3,8,5.60
3,34,5.59
3,4,5.58
3,11,5.06
3,39,5.03
3,24,5.03
3,37,5.02
3,2,4.54
3,32,4.08
3,6,3.00
3,30,3.00
3,31,2.71
3,28,2.30
3,35,1.79
5,41,11.96
5,29,11.47
5,25,11.12
5,14,10.87
5,15,10.43
5,22,10.39
5,38,10.16
5,42,10.05
5,19,9.80
5,9,9.57
5,33,9.21
5,12,8.37
5,18,8.23
5,3,8.11
5,23,8.00
5,8,7.49
5,6,7.47
5,35,7.36
5,40,7.32
5,11,7.15
5,4,6.97
5,31,6.94
5,39,6.90
5,34,6.77
5,2,6.72
5,37,6.63
5,17,6.47
5,21,6.37
5,28,6.13
5,24,5.20
5,32,4.91
5,30,3.47
7,42,10.11
7,41,8.87
7,14,8.47
7,3,8.44
7,9,8.35
7,4,8.32
7,29,8.06
7,8,7.56
7,15,7.43
7,22,6.98
7,38,6.53
7,25,6.00
7,18,5.91
7,37,5.41
7,19,5.15
7,11,4.64
7,39,4.34
7,35,3.76
7,33,2.48
7,12,0.69
7,21,0.69
7,34,0.00
7,40,0.00
8,42,11.77
8,41,11.01
8,18,8.09
8,22,8.05
8,14,7.72
8,6,7.47
8,39,7.44
8,15,7.41
8,19,7.32
8,38,7.29
8,33,7.04
8,11,7.03
8,29,6.16
8,2,5.55
8,25,5.20
8,35,5.07
8,21,4.70
10,42,8.41
10,15,7.44
10,29,6.09
10,41,6.07
10,8,6.05
10,14,5.15
10,11,4.91
10,38,4.75
10,22,4.16
10,18,4.13
10,35,2.77
10,33,2.71
10,39,2.56
10,37,1.95
10,21,1.39
10,31,1.39
10,9,1.10
10,12,0.00
12,15,10.68
12,37,10.12
12,38,10.04
12,41,9.91
12,31,9.64
12,19,9.27
12,42,9.09
12,29,8.72
12,25,8.62
12,22,7.96
12,14,7.56
12,11,7.34
12,9,7.15
12,33,6.95
12,18,6.77
12,3,6.56
12,4,6.33
12,40,6.31
12,17,6.00
12,34,5.61
12,24,4.73
12,21,4.65
12,8,4.47
12,23,4.22
12,2,3.74
12,28,3.69
12,39,3.53
12,6,3.26
12,32,2.83
12,35,2.20
12,30,2.08
13,42,10.47
13,37,9.83
13,12,8.47
13,41,8.33
13,33,7.62
13,15,7.59
13,29,7.33
13,38,6.99
13,25,6.36
13,19,6.34
13,31,6.12
13,22,6.05
13,4,5.73
13,14,5.53
13,18,4.94
13,23,4.14
13,8,3.81
13,17,3.18
13,11,3.04
13,2,1.61
13,3,1.61
13,9,1.39
13,21,1.39
13,24,1.39
13,34,0.69
13,40,0.69
13,28,0.00
13,30,0.00
14,41,13.19
14,42,12.31
14,15,12.00
14,25,11.67
14,38,11.24
14,22,11.00
14,18,10.91
14,29,10.75
14,33,10.63
14,9,10.54
14,19,10.20
14,17,10.00
14,23,9.85
14,2,9.27
14,11,9.15
14,12,8.92
14,8,8.91
14,31,8.49
14,3,8.49
14,35,8.15
14,28,7.99
14,34,7.89
14,4,7.75
14,37,7.75
14,39,7.66
14,40,7.49
14,21,7.20
14,32,7.06
14,6,7.03
14,24,5.86
14,30,4.50
16,8,6.14
16,37,3.87
16,19,3.14
16,22,1.95
17,38,11.67
17,42,9.95
17,41,9.63
17,23,9.35
17,14,8.61
17,19,7.98
17,33,7.84
17,9,7.11
17,29,6.67
17,4,6.32
17,34,6.29
17,25,6.24
17,18,5.99
17,2,5.71
17,8,5.64
17,12,5.34
17,22,5.08
17,15,5.06
17,37,3.71
17,6,3.66
17,31,3.26
17,21,2.83
17,40,2.83
17,3,2.48
17,30,2.40
17,35,0.69
19,41,12.94
19,15,12.12
19,42,11.40
19,14,10.72
19,29,10.52
19,9,10.02
19,22,9.78
19,38,9.75
19,12,9.66
19,8,9.39
19,3,9.12
19,25,8.42
19,18,8.38
19,4,7.90
19,37,7.81
19,6,7.78
19,33,7.65
19,17,7.23
19,2,7.05
19,35,6.74
19,23,6.54
19,31,6.13
19,40,6.08
19,32,5.74
19,11,5.72
19,39,5.56
