Source,Target,Type,Weight
38,25,Directed,11.27
38,33,Directed,11.05
38,17,Directed,10.84
38,4,Directed,10.62
38,18,Directed,10.4
38,9,Directed,10.18
38,29,Directed,9.96
38,23,Directed,9.74
38,40,Directed,9.52
38,6,Directed,9.3
38,21,Directed,9.08
38,8,Directed,8.87
38,22,Directed,8.65
38,3,Directed,8.43
38,19,Directed,8.21
38,39,Directed,7.99
38,2,Directed,7.77
38,24,Directed,7.55
38,34,Directed,7.33
38,32,Directed,7.11
38,37,Directed,6.9
38,28,Directed,6.68
38,30,Directed,6.46
38,11,Directed,6.24
38,31,Directed,6.02
38,12,Directed,5.8
38,35,Directed,5.58
42,9,Directed,13.95
42,41,Directed,13.68
42,4,Directed,13.4
42,8,Directed,13.12
42,15,Directed,12.85
42,22,Directed,12.57
42,14,Directed,12.29
42,11,Directed,12.02
42,39,Directed,11.74
42,19,Directed,11.47
42,18,Directed,11.19
42,33,Directed,10.91
42,2,Directed,10.64
42,38,Directed,10.36
42,6,Directed,10.08
42,25,Directed,9.81
42,29,Directed,9.53
42,23,Directed,9.26
42,35,Directed,8.98
42,21,Directed,8.7
42,37,Directed,8.43
42,30,Directed,8.15
42,31,Directed,7.87
42,24,Directed,7.6
42,3,Directed,7.32
42,12,Directed,7.05
42,34,Directed,6.77
42,28,Directed,6.49
