Source,Target,Type,Weight
41,9,Directed,12.7
41,22,Directed,12.5
41,19,Directed,12.3
41,18,Directed,12.2
41,25,Directed,12
41,33,Directed,11.9
41,17,Directed,11.7
41,31,Directed,11.5
41,12,Directed,11.4
41,4,Directed,11.2
41,2,Directed,11
41,6,Directed,10.9
41,40,Directed,10.7
41,37,Directed,10.5
41,11,Directed,10.4
41,8,Directed,10.2
41,34,Directed,10
41,3,Directed,9.9
41,39,Directed,9.7
41,21,Directed,9.5
41,35,Directed,9.4
41,32,Directed,9.2
41,24,Directed,9
41,28,Directed,8.9
41,30,Directed,8.7
42,9,Directed,13.7
42,41,Directed,13.4
42,4,Directed,13.1
42,15,Directed,12.8
42,22,Directed,12.5
42,14,Directed,12.2
42,25,Directed,11.9
42,8,Directed,11.6
42,38,Directed,11.3
42,31,Directed,11
42,18,Directed,10.7
42,33,Directed,10.4
42,6,Directed,10.1
42,11,Directed,9.7
42,35,Directed,9.4
42,39,Directed,9.1
42,23,Directed,8.8
42,29,Directed,8.5
42,19,Directed,8.2
42,2,Directed,7.9
42,21,Directed,7.6
42,37,Directed,7.3
42,30,Directed,7
42,3,Directed,6.7
42,34,Directed,6.4
42,24,Directed,6.1
42,12,Directed,5.8
42,28,Directed,5.5
