Source,Target,Weight
2,42,10.71
2,41,10.13
2,33,9.76
2,18,9.21
2,22,8.97
2,15,8.47
2,29,8.38
2,38,8.36
2,30,8.20
2,14,8.11
2,8,7.59
2,39,7.49
2,11,7.49
2,9,6.28
2,6,6.20
2,19,5.73
2,25,5.61
2,34,5.55
2,40,4.87
2,35,4.80
2,31,4.58
2,23,4.53
2,37,4.45
2,24,4.41
2,12,4.26
2,21,4.23
2,3,4.01
2,32,2.71
2,17,2.30
2,4,1.10
3,15,10.93
3,38,9.78
3,41,9.71
3,14,9.10
3,42,7.98
3,25,7.66
3,23,7.52
3,9,7.38
3,29,7.25
3,18,6.61
3,22,6.58
3,19,6.43
3,8,5.99
3,40,5.87
3,33,5.69
3,4,5.66
3,34,5.35
3,37,5.22
3,24,5.20
3,31,4.93
3,39,4.88
3,12,4.81
3,21,4.79
3,11,4.71
3,2,4.51
3,32,4.48
3,17,4.20
3,30,2.94
3,6,1.79
5,41,11.53
5,29,11.37
5,14,10.98
5,15,10.50
5,25,10.07
5,22,10.02
5,42,9.61
5,19,9.22
5,38,9.04
5,23,8.83
5,9,8.80
5,33,8.63
5,18,8.19
5,11,8.06
5,8,7.29
5,35,7.17
5,3,7.13
5,12,7.13
5,6,7.12
5,4,7.09
5,40,6.96
5,37,6.70
5,32,6.65
5,34,6.54
5,39,6.44
5,2,5.70
5,21,5.61
5,31,5.20
5,17,4.93
5,28,4.50
5,24,4.42
5,30,3.09
7,42,10.77
7,9,9.71
7,41,9.08
7,3,8.93
7,22,8.46
7,14,8.36
7,4,7.89
7,15,7.84
7,29,7.24
7,8,7.10
7,38,6.53
7,18,6.46
7,11,4.75
7,25,4.61
7,37,4.19
7,35,3.97
7,12,3.89
7,39,3.58
7,19,3.47
7,33,3.43
7,2,1.95
7,31,1.10
7,34,0.69
7,6,0.00
7,21,0.00
8,42,12.24
8,41,10.99
8,18,7.71
8,11,7.66
8,15,7.47
8,19,7.39
8,39,7.26
8,33,7.18
8,38,7.04
8,6,6.94
8,25,6.44
8,22,6.24
8,29,6.18
8,2,5.84
8,40,5.21
8,35,5.00
8,21,4.96
10,42,9.07
10,41,7.14
10,15,7.04
10,8,6.90
10,11,5.57
10,38,5.21
10,29,5.14
10,31,5.05
10,22,4.79
10,14,4.47
10,18,4.44
10,9,4.25
10,35,4.09
10,33,3.30
10,6,3.22
10,3,3.14
10,25,2.64
10,37,2.08
10,39,1.95
10,4,1.61
10,34,1.39
12,41,10.51
12,37,10.17
12,38,10.07
12,15,9.71
12,25,8.87
12,31,8.83
12,14,8.75
12,19,8.69
12,29,8.68
12,42,8.29
12,33,7.78
12,9,7.24
12,3,7.21
12,22,6.41
12,18,6.01
12,40,5.86
12,2,5.65
12,24,5.30
12,4,5.25
12,17,5.05
12,11,4.80
12,8,4.79
12,21,4.25
12,32,4.08
12,34,3.76
12,6,3.30
12,30,2.94
12,35,2.56
12,23,2.20
12,39,2.08
12,28,1.39
13,37,11.22
13,31,10.44
13,41,9.75
13,12,9.47
13,15,8.64
13,29,7.60
13,14,7.29
13,25,7.07
13,33,7.03
13,19,5.90
13,4,5.81
13,11,4.06
13,8,3.09
13,18,1.95
13,21,1.61
13,34,1.10
13,40,1.10
13,39,0.00
13,28,0.00
13,30,0.00
14,41,13.09
14,15,11.82
14,42,11.72
14,25,11.44
14,38,10.86
14,19,10.55
14,29,10.54
