Source,Target,Type,Weight
2,42,Directed,12
2,41,Directed,11.7
2,33,Directed,11.3
2,18,Directed,11
2,11,Directed,10.7
2,15,Directed,10.3
2,22,Directed,10
2,30,Directed,9.7
2,8,Directed,9.3
2,39,Directed,9
2,29,Directed,8.7
2,35,Directed,8.4
2,9,Directed,8
2,40,Directed,7.7
2,38,Directed,7.4
2,14,Directed,7
2,19,Directed,6.7
2,37,Directed,6.4
2,34,Directed,6.1
2,25,Directed,5.7
2,3,Directed,5.4
2,32,Directed,5.1
2,21,Directed,4.7
2,23,Directed,4.4
2,12,Directed,4.1
2,6,Directed,3.7
2,24,Directed,3.4
2,4,Directed,3.1
2,31,Directed,2.8
2,17,Directed,2.4
2,28,Directed,2.1
5,41,Directed,12.5
5,25,Directed,12.2
5,29,Directed,12
5,14,Directed,11.7
5,22,Directed,11.4
5,19,Directed,11.1
5,42,Directed,10.8
5,15,Directed,10.5
5,38,Directed,10.2
5,33,Directed,9.9
5,9,Directed,9.6
5,18,Directed,9.3
5,23,Directed,9
5,40,Directed,8.7
5,34,Directed,8.4
5,37,Directed,8.1
5,31,Directed,7.8
5,12,Directed,7.5
5,11,Directed,7.2
5,39,Directed,6.9
5,4,Directed,6.6
5,32,Directed,6.3
5,35,Directed,6.1
5,3,Directed,5.8
5,6,Directed,5.5
5,8,Directed,5.2
5,2,Directed,4.9
5,17,Directed,4.6
5,21,Directed,4.3
5,28,Directed,4
5,24,Directed,3.7
5,30,Directed,3.4
7,42,Directed,12.1
7,3,Directed,11.6
7,9,Directed,11.1
7,4,Directed,10.6
7,14,Directed,10.1
7,41,Directed,9.6
7,29,Directed,9.1
7,22,Directed,8.6
7,25,Directed,8.2
7,15,Directed,7.7
7,8,Directed,7.2
7,11,Directed,6.7
7,32,Directed,6.2
7,38,Directed,5.7
7,40,Directed,5.2
7,33,Directed,4.7
7,18,Directed,4.2
7,37,Directed,3.7
7,39,Directed,3.3
7,19,Directed,2.8
7,35,Directed,2.3
7,31,Directed,1.8
7,6,Directed,1.4
8,41,Directed,12.8
8,11,Directed,12.5
8,14,Directed,12.2
8,18,Directed,11.9
8,29,Directed,11.6
8,2,Directed,11.3
8,15,Directed,11
8,33,Directed,10.7
8,22,Directed,10.4
8,38,Directed,10.1
